id,date,user,pc,activity
{H8E8-F0AV41YH-6569KKXF},1/4/2010 11:40,DTAA/KSB0673,PC-0847,Connect
{F0S2-W3JE09YB-7989DUED},1/4/2010 11:42,DTAA/PXB0069,PC-1972,Connect
{F6S1-U7UM12WM-6110LIAE},1/4/2010 11:46,DTAA/MMH0612,PC-2886,Connect
{Q9C9-G7OC47FS-6846BISV},1/4/2010 11:46,DTAA/OYR0801,PC-0088,Connect
{E5T2-G7FT57UL-2548ODTA},1/4/2010 11:59,DTAA/JLM0053,PC-1334,Connect
{D3V3-E9KB08PY-8139HJVD},1/4/2010 12:09,DTAA/ELA0741,PC-1751,Disconnect
{P7F4-V5EH64FK-6156VVDC},1/4/2010 12:09,DTAA/CGM0343,PC-3039,Connect
{I6P5-V6KN90BF-2902IZTV},1/4/2010 12:13,DTAA/AFN0918,PC-3425,Disconnect
{L1B0-Q3JG26TC-5647YUEI},1/4/2010 12:14,DTAA/HNF0812,PC-4760,Connect
{X8S5-L7MF30BE-1136TWWK},1/4/2010 12:15,DTAA/BGF0236,PC-1848,Connect
{R9L5-O0QO02MW-3582FLNN},1/4/2010 12:17,DTAA/MMH0612,PC-2886,Disconnect
{B7X3-W1XM86CY-6329GABR},1/4/2010 12:17,DTAA/NNB0443,PC-4625,Connect
{B6D5-G1UV49WD-7087YELU},1/4/2010 12:18,DTAA/MIK0034,PC-0845,Disconnect
{Y4P6-G7NV12NO-6377LAYE},1/4/2010 12:20,DTAA/PSP0555,PC-0017,Connect
{Z2E8-N5XW71ZP-5705MICU},1/4/2010 12:31,DTAA/EDH0146,PC-3973,Connect
{D4F1-Z9ZW95TR-1171YYKI},1/4/2010 12:32,DTAA/SCW0707,PC-1217,Disconnect
{F1O4-B8NQ96QF-5477GTEL},1/4/2010 12:40,DTAA/TAO0639,PC-2198,Connect
{Z4C4-U3FS09EM-1886CJEF},1/4/2010 12:40,DTAA/MMF0289,PC-1734,Connect
{G6B2-B9TM00BP-4277KZNE},1/4/2010 12:43,DTAA/JJR0278,PC-1005,Connect
{V9X0-J5MZ92NE-5410EUMO},1/4/2010 12:50,DTAA/SJH0588,PC-2512,Connect
{S7N1-G0RY04PM-2530REQD},1/4/2010 12:58,DTAA/HCG0731,PC-4643,Connect
{T8O2-L9OB10MJ-4206MSJV},1/4/2010 12:59,DTAA/MAG0290,PC-4646,Connect
{W9S1-C1OD80XP-4703LFGM},1/4/2010 13:01,DTAA/PUH0847,PC-2550,Connect
{A3U7-T3JL71JL-8140AANL},1/4/2010 13:02,DTAA/CHA0174,PC-2751,Disconnect
{N6W5-D1BI38CO-6294MPGQ},1/4/2010 13:03,DTAA/HDR0261,PC-2506,Connect
{Z4K3-Z6JY07GN-0671CKMX},1/4/2010 13:05,DTAA/HCG0731,PC-4643,Disconnect
{M2A3-T3OT43ID-1258HLFJ},1/4/2010 13:07,DTAA/JCS0873,PC-1560,Disconnect
{Z3E0-F7TY30HF-8916ZBHZ},1/4/2010 13:13,DTAA/ODW0839,PC-1940,Connect
{I0J8-Z4ST81AS-8933MOBK},1/4/2010 13:14,DTAA/HNF0812,PC-4760,Disconnect
{D1G8-T1IT42OE-5175XFJY},1/4/2010 13:15,DTAA/TLB0017,PC-0053,Connect
{R4B7-M6RQ54UM-7055JKLS},1/4/2010 13:23,DTAA/COS0121,PC-0462,Connect
{I7I2-B3JN53XM-2048AKVP},1/4/2010 13:24,DTAA/XQW0354,PC-4067,Connect
{M2S7-G1ZG91KR-1111TUIF},1/4/2010 13:27,DTAA/JLM0053,PC-1334,Disconnect
{E8J5-E5SK57FQ-0460VZMX},1/4/2010 13:28,DTAA/PUH0847,PC-2550,Disconnect
{T8Y0-D5OH88DC-0513IESJ},1/4/2010 13:29,DTAA/XQW0354,PC-4067,Disconnect
{V3R2-C3LN15JJ-7462VYUL},1/4/2010 13:31,DTAA/SPK0818,PC-1938,Connect
{Z9F5-G8FJ57DV-8767JDUD},1/4/2010 13:37,DTAA/HSD0519,PC-2047,Connect
{U6P0-W1MV66ZX-9801OSFI},1/4/2010 13:44,DTAA/NNB0443,PC-4625,Disconnect
{Y7Y5-T1NT75ZW-2071FXHT},1/4/2010 13:46,DTAA/HSD0519,PC-2047,Disconnect
{E3L9-O1VW04YP-5829MXSM},1/4/2010 13:48,DTAA/MJM0469,PC-1592,Connect
{K5Y3-J6JA26KL-7175BEOJ},1/4/2010 13:51,DTAA/AZC0030,PC-4724,Disconnect
{D7L7-V8BG36DI-4639WLBT},1/4/2010 13:51,DTAA/TNB0740,PC-2015,Connect
{Y8Z3-U7MM64SR-1595SQVK},1/4/2010 13:54,DTAA/ESB0080,PC-2529,Connect
{P2C4-Q9QD38DE-1323HJSB},1/4/2010 13:58,DTAA/DAV0579,PC-1701,Disconnect
{Q7I1-E7JC47AT-3496UVQC},1/4/2010 14:04,DTAA/SOM0478,PC-3348,Disconnect
{U3C3-X2TS27NY-4511VQNR},1/4/2010 14:05,DTAA/IRC0991,PC-1118,Disconnect
{C2X0-B6LK36KT-6315IOTZ},1/4/2010 14:05,DTAA/AFR0646,PC-0323,Disconnect
{K7H9-A4ES86VL-8807LFXM},1/4/2010 14:09,DTAA/TLB0017,PC-0053,Disconnect
{U8G9-G7JR94TJ-4795KJMI},1/4/2010 14:10,DTAA/MJM0469,PC-1592,Disconnect
{V6H4-Q6UU96HQ-7350KTSP},1/4/2010 14:10,DTAA/SLC0778,PC-3199,Disconnect
{V3V3-M4FS79RM-3426KZQI},1/4/2010 14:12,DTAA/LCK0666,PC-3245,Connect
{R4U1-A6AU80YD-0553FDBM},1/4/2010 14:13,DTAA/MAG0290,PC-4646,Disconnect
{P9T6-B7US97EH-1117ZSUA},1/4/2010 14:18,DTAA/CSC0297,PC-2848,Connect
{T8N8-I8EM37JG-2361EXLI},1/4/2010 14:19,DTAA/RQH0770,PC-4225,Disconnect
{V1F1-R4GN79KQ-7853TJMW},1/4/2010 14:22,DTAA/EDH0146,PC-3973,Disconnect
{J6Y3-V8VG15MF-5991TRRZ},1/4/2010 14:25,DTAA/AJA0220,PC-3872,Connect
{E3L8-W5PV03GT-9808QJPD},1/4/2010 14:33,DTAA/KSB0673,PC-0847,Disconnect
{Q4A3-E7FL90PL-7980GTAH},1/4/2010 14:36,DTAA/RXE0207,PC-0650,Connect
{S4P9-H4HU00DJ-3384IRRK},1/4/2010 14:40,DTAA/SJH0588,PC-2512,Disconnect
{M4N7-I5FH88XL-4521OECF},1/4/2010 14:40,DTAA/ZKH0388,PC-1021,Disconnect
{Y3N8-G7MN22AB-9997GIHO},1/4/2010 14:47,DTAA/TNB0740,PC-2015,Disconnect
{Y2Y9-H6YZ73SP-5384AUFW},1/4/2010 14:48,DTAA/RCW0436,PC-3171,Connect
{S6E3-B8IJ51MQ-6628FYTL},1/4/2010 14:48,DTAA/MXM0838,PC-4983,Connect
{F2J2-Z1ND19JN-0058ZCFU},1/4/2010 14:53,DTAA/ODW0839,PC-1940,Disconnect
{W7B0-E4UK50GU-4821JRSF},1/4/2010 14:57,DTAA/SAH0192,PC-4079,Connect
{Q0L7-X2TH84GT-7893AYCV},1/4/2010 15:00,DTAA/IKH0904,PC-3664,Connect
{S9H9-D2HF69WA-4421EGWT},1/4/2010 15:05,DTAA/CAW0976,PC-4600,Connect
{K7K2-I8WT67IL-1121RZFB},1/4/2010 15:12,DTAA/IKH0904,PC-3664,Disconnect
{Z9I8-W0NV16GD-9163SMPK},1/4/2010 15:15,DTAA/EMZ0196,PC-1479,Disconnect
{P5V7-V3MC39UY-1891IUEX},1/4/2010 15:17,DTAA/COS0121,PC-0462,Disconnect
{G8T5-R3RD00MO-6135VQBK},1/4/2010 15:17,DTAA/LRH0747,PC-2216,Connect
{N7P6-K9ZQ08RX-5205OBNM},1/4/2010 15:22,DTAA/AMA0191,PC-4736,Connect
{S5F7-U9BY85PP-2716OMMJ},1/4/2010 15:23,DTAA/CSC0297,PC-2848,Disconnect
{E7F1-M7YR38PK-2293HFPW},1/4/2010 15:27,DTAA/BGF0236,PC-1848,Disconnect
{G8J2-C3RL83QD-7382FHFT},1/4/2010 15:28,DTAA/CHM0645,PC-1775,Connect
{G3F9-A9VR56EU-3416CAOW},1/4/2010 15:28,DTAA/RXE0207,PC-0650,Disconnect
{S7U0-M6BQ87WE-3081HGRB},1/4/2010 15:28,DTAA/AJC0266,PC-4661,Connect
{A4C9-N0TJ70YA-1945SEIX},1/4/2010 15:33,DTAA/JZO0727,PC-2134,Disconnect
{L6O9-G6EL65OK-8150FJBZ},1/4/2010 15:35,DTAA/PSP0555,PC-0017,Disconnect
{V8H6-I6RF08PB-1779FURU},1/4/2010 15:40,DTAA/SAH0192,PC-4079,Disconnect
{G7I2-N2CQ16LF-3703BVJR},1/4/2010 15:41,DTAA/PXB0069,PC-1972,Disconnect
{U3A6-B4TO53EX-7509PDUO},1/4/2010 15:46,DTAA/YCB0005,PC-3392,Connect
{P5O0-L6UX75HO-3554NWCG},1/4/2010 15:49,DTAA/SPK0818,PC-1938,Disconnect
{E1Q8-W7FB63EU-7143VFCE},1/4/2010 15:53,DTAA/LCK0666,PC-3245,Disconnect
{W0D8-U1SI51EW-3911YIAL},1/4/2010 15:58,DTAA/JNF0543,PC-1389,Connect
{B8O1-T5QL88ZV-8496IKLT},1/4/2010 15:59,DTAA/JNF0543,PC-1389,Disconnect
{Z8J5-S0CZ03OS-8394JAQM},1/4/2010 16:01,DTAA/RCW0436,PC-3171,Disconnect
{W3C4-X6VC70AV-9357BLHC},1/4/2010 16:02,DTAA/VMA0051,PC-1950,Connect
{G6N8-Z4FS34CQ-8833SBXM},1/4/2010 16:02,DTAA/WJG0153,PC-3249,Connect
{I1Q8-Q0LN71QO-0332RMKE},1/4/2010 16:02,DTAA/AJC0266,PC-4661,Disconnect
{I6P4-J9QM51TI-6114HWDG},1/4/2010 16:03,DTAA/WDW0485,PC-3096,Disconnect
{W0M9-F3TZ56IY-1029CTHH},1/4/2010 16:05,DTAA/ARK0026,PC-2707,Connect
{M1X3-D6TR80KP-7692JAWA},1/4/2010 16:06,DTAA/CAC0854,PC-0303,Connect
{Y9U1-L7PY15HJ-2379TTZX},1/4/2010 16:06,DTAA/GRS0372,PC-2242,Connect
{R1S7-A3YG87QF-9462ZJAX},1/4/2010 16:08,DTAA/AJA0220,PC-3872,Disconnect
{U1D6-C2MR92FT-7306IMFD},1/4/2010 16:11,DTAA/SHR0025,PC-0288,Connect
{W6J8-K3BA20OC-3993RMCH},1/4/2010 16:14,DTAA/GRS0372,PC-2242,Disconnect
{U6P5-S8YX76GW-6875XUOK},1/4/2010 16:15,DTAA/HSR0472,PC-3512,Connect
{P4L6-Y7BE54HB-1666KDJB},1/4/2010 16:15,DTAA/OJH0425,PC-1730,Disconnect
{R2U7-V2ZG96OQ-3356GRYE},1/4/2010 16:17,DTAA/ATJ0284,PC-4337,Connect
{U1X4-L8JJ48JD-5659JKVE},1/4/2010 16:20,DTAA/SHR0025,PC-0288,Disconnect
{N5W2-F7ZG76LK-3206AABD},1/4/2010 16:20,DTAA/WJG0153,PC-3249,Disconnect
{N5O0-T0XR66AN-4091GXWY},1/4/2010 16:20,DTAA/JMS0793,PC-3179,Connect
{Y0Q9-A8HQ46TU-6361FIVI},1/4/2010 16:21,DTAA/MXM0838,PC-4983,Disconnect
{K5Q2-Q9XE15JW-4811GSHY},1/4/2010 16:25,DTAA/KKW0676,PC-4445,Connect
{L5M2-W6WM42HF-0053OIWD},1/4/2010 16:27,DTAA/HIB0604,PC-4209,Connect
{U8F8-O7RA70LI-2660OYOD},1/4/2010 16:27,DTAA/HSR0472,PC-3512,Disconnect
{N3W5-K1CH94OE-1897AHIH},1/4/2010 16:31,DTAA/ESB0080,PC-2529,Disconnect
{Q3L0-H0GG87XB-3684IYRI},1/4/2010 16:32,DTAA/ATJ0284,PC-4337,Disconnect
{K5I4-A3PW08IV-9423IRTY},1/4/2010 16:33,DTAA/YCB0005,PC-3392,Disconnect
{U5D9-M9SI58WM-0223ELMR},1/4/2010 16:37,DTAA/BNW0850,PC-2260,Disconnect
{X1K5-Q1WL01FE-4210CRCD},1/4/2010 16:37,DTAA/CAW0976,PC-4600,Disconnect
{O6L4-M0OF64DU-3520DCSP},1/4/2010 16:38,DTAA/JMS0793,PC-3179,Disconnect
{M1K6-R2OW82RG-9457VYOA},1/4/2010 16:39,DTAA/AMA0191,PC-4736,Disconnect
{I2Q9-A2LO66OR-2467JMSA},1/4/2010 16:42,DTAA/VMA0051,PC-1950,Disconnect
{X3L5-N0MN34CB-5500HXDK},1/4/2010 16:45,DTAA/JJR0278,PC-1005,Disconnect
{O3R4-I1AE59QQ-5882NFQD},1/4/2010 16:49,DTAA/RBC0879,PC-1261,Disconnect
{O3Z7-E5GI14EN-9311UGRK},1/4/2010 16:55,DTAA/HTC0607,PC-1033,Connect
{F2N7-N4JC30ET-8225FZZM},1/4/2010 16:59,DTAA/LRH0747,PC-2216,Disconnect
{Y3S3-Y5ZC13BQ-5563XBSC},1/4/2010 17:07,DTAA/CCG0876,PC-3910,Connect
{P0D9-A0HI36QI-3051OQAA},1/4/2010 17:11,DTAA/ACH0803,PC-4334,Connect
{Q4Z6-K6UC02PV-0647UCKG},1/4/2010 17:14,DTAA/ACH0803,PC-4334,Disconnect
{O5Y4-V6XK28ZN-9914FOYJ},1/4/2010 17:14,DTAA/ABB0272,PC-0726,Disconnect
{H1Z3-J1FV58PY-6205GYMF},1/4/2010 17:15,DTAA/MCM0346,PC-2974,Disconnect
{M2F7-F6DF54WL-0240YAOU},1/4/2010 17:19,DTAA/CCG0876,PC-3910,Disconnect
{E6N7-A5ES23JG-3126YVON},1/4/2010 17:28,DTAA/FDP0500,PC-4873,Connect
{Z7W6-N4NP95QT-4655SUMF},1/4/2010 17:32,DTAA/CAC0854,PC-0303,Disconnect
{R1Q8-G7XQ69YS-2738MBRE},1/4/2010 17:36,DTAA/VFP0669,PC-1717,Disconnect
{P9X7-Z6GZ65LV-7093BAPS},1/4/2010 17:36,DTAA/KKW0676,PC-4445,Disconnect
{R7O4-N0FR01UJ-2972ZRVG},1/4/2010 17:38,DTAA/AGW0182,PC-4531,Connect
{C2N6-S5HD66DD-2793MEMM},1/4/2010 17:39,DTAA/AGW0182,PC-4531,Disconnect
{A2L4-R9PN29LR-8904UVGP},1/4/2010 17:40,DTAA/MMF0289,PC-1734,Disconnect
{Q3G9-E1BV38TT-6446SUXD},1/4/2010 17:49,DTAA/ARK0026,PC-2707,Disconnect
{X0X0-N0WG09MM-3514PSYS},1/4/2010 17:50,DTAA/TAO0639,PC-2198,Disconnect
{B5H0-N5TB86SE-5250JCBD},1/4/2010 17:54,DTAA/GRG0693,PC-3411,Connect
{B0P0-W8XR71ID-1881QNBJ},1/4/2010 18:07,DTAA/JSB0493,PC-2493,Connect
{T5T1-B5IE85XJ-5061EZZW},1/4/2010 18:22,DTAA/CPP0761,PC-2665,Disconnect
{X6R0-Y4OL75TB-5507TPCZ},1/4/2010 18:23,DTAA/HIB0604,PC-4209,Disconnect
{K5W1-U7CN77EM-7749JCFE},1/4/2010 18:23,DTAA/JSB0493,PC-2493,Disconnect
{B1I5-Q7MC99EN-8535GGQL},1/4/2010 18:29,DTAA/XKR0971,PC-1355,Connect
{Q9V5-K9WL63DC-9655ECKU},1/4/2010 18:39,DTAA/AJB0016,PC-1116,Connect
{I6A2-G3UE77MA-7402SPEN},1/4/2010 18:41,DTAA/XKR0971,PC-1355,Disconnect
{D9A9-F1GM06HV-7040RICE},1/4/2010 18:49,DTAA/HDR0261,PC-2506,Disconnect
{K7C3-G0WT93CQ-8087EROY},1/4/2010 18:54,DTAA/OYR0801,PC-0088,Disconnect
{I8R7-T6SC06LF-6125DHEF},1/4/2010 19:01,DTAA/LBB0095,PC-2780,Connect
{Z5W0-S8FA75IH-2544ENPA},1/4/2010 19:02,DTAA/LBB0095,PC-2780,Disconnect
{L5T2-M0FP36RX-7496TURX},1/4/2010 21:25,DTAA/NDS0490,PC-2549,Connect
{M8V8-X0IE73VU-7037NCIS},1/4/2010 21:26,DTAA/NDS0490,PC-2549,Disconnect
{P7M6-W2CZ92MF-9139WASN},1/5/2010 2:51,DTAA/CHA0174,PC-2751,Connect
{I0P9-A9AN27EB-1420BFHT},1/5/2010 2:58,DTAA/CHA0174,PC-2751,Disconnect
{U7N6-V4KF49HZ-8480MHQH},1/5/2010 3:34,DTAA/JCS0873,PC-1560,Connect
{H3J9-H8VD41WU-3863JBKH},1/5/2010 3:58,DTAA/JCS0873,PC-1560,Disconnect
{V1L9-V3PN78JZ-8911PLAJ},1/5/2010 4:00,DTAA/JHD0512,PC-2683,Connect
{A1O0-T2PX71WE-3984YLKJ},1/5/2010 4:11,DTAA/JHD0512,PC-2683,Disconnect
{F4X3-R5ZM65TP-5076PWQD},1/5/2010 7:33,DTAA/CCB0496,PC-0214,Connect
{I1B6-O6DL63CN-1254LEEA},1/5/2010 7:39,DTAA/MIK0034,PC-0845,Connect
{I3Q6-E4QV91OP-9082LQJQ},1/5/2010 8:09,DTAA/ARM0416,PC-1249,Connect
{N9D2-A1EI06KF-0936CPZM},1/5/2010 8:11,DTAA/GNH0394,PC-2161,Connect
{K9R0-I9PD90PS-3226SKDI},1/5/2010 8:14,DTAA/KKW0676,PC-4445,Connect
{W7Y5-N4BB57VG-7453OZKT},1/5/2010 8:24,DTAA/OJH0425,PC-1730,Connect
{Y3N5-E7TH01WJ-4813JQWQ},1/5/2010 8:24,DTAA/ARM0416,PC-1249,Disconnect
{N2R8-K9VK51VO-7500EEHY},1/5/2010 8:30,DTAA/GKJ0573,PC-3174,Connect
{Y3O7-X8BS47EZ-8054QNEX},1/5/2010 8:42,DTAA/SEF0446,PC-2477,Connect
{P2Q3-R1WP06GR-1866SRVD},1/5/2010 8:46,DTAA/SJA0691,PC-3231,Connect
{C4Q7-F3UR10FS-4193LUGF},1/5/2010 8:53,DTAA/SAH0192,PC-4079,Connect
{D6Q9-N8YR33SX-8934HNSY},1/5/2010 9:04,DTAA/HTC0607,PC-1033,Connect
{G9V0-R4LB45HJ-9220JBUR},1/5/2010 9:07,DTAA/GKJ0573,PC-3174,Disconnect
{E5Z4-Z4SB76TI-5671DKYR},1/5/2010 9:12,DTAA/AGW0182,PC-4531,Connect
{C5B8-U2CF65ED-8013WWNH},1/5/2010 9:13,DTAA/MXM0838,PC-4983,Connect
{P5M2-E5XA52FO-5875ICVL},1/5/2010 9:14,DTAA/AFH0331,PC-0850,Connect
{H1V9-X6JY27JM-8290OYFL},1/5/2010 9:17,DTAA/SJA0691,PC-3231,Disconnect
{T6B2-C9XR54OA-1521PULR},1/5/2010 9:17,DTAA/DFW0798,PC-3141,Connect
{N4V3-X3YO25YO-9021XRJJ},1/5/2010 9:25,DTAA/HTC0607,PC-1033,Disconnect
{T1P6-G2NT42GA-1907MFVY},1/5/2010 9:26,DTAA/CCB0496,PC-0214,Disconnect
{P8C9-U8TL28AP-2242JYDL},1/5/2010 9:35,DTAA/BJC0569,PC-2588,Connect
{F3O1-C7KA46TF-9236YFHC},1/5/2010 9:44,DTAA/NSP0910,PC-4479,Connect
{Y9K9-G7WP87OM-9492VSBO},1/5/2010 9:47,DTAA/JGB0062,PC-3269,Connect
{R4P4-I4PK77ZJ-1627BWGT},1/5/2010 9:49,DTAA/ATJ0284,PC-4337,Connect
{L6H4-O5DJ94PR-8133LMAT},1/5/2010 9:50,DTAA/AQG0678,PC-1127,Connect
{T7P3-J6TI13ZA-9171NBUI},1/5/2010 9:50,DTAA/VMA0051,PC-1950,Connect
{K9R4-Y2GC61QA-2831AXEE},1/5/2010 9:52,DTAA/QKR0651,PC-4881,Connect
{L2S1-Q8NC33BV-8394FAPU},1/5/2010 9:53,DTAA/MJM0469,PC-1592,Connect
{G4B0-Z0BE37EK-8159XKIA},1/5/2010 10:03,DTAA/ERP0254,PC-3959,Connect
{E7H3-L0HC75LW-3466AYIP},1/5/2010 10:10,DTAA/TNB0740,PC-2015,Connect
{X0J5-I6NO12CG-8899NSQA},1/5/2010 10:12,DTAA/AQG0678,PC-1127,Disconnect
{D5U8-M8BA54AB-8117BSDK},1/5/2010 10:19,DTAA/HBL0517,PC-1343,Connect
{Z0C0-B8SA52LX-1294FYTQ},1/5/2010 10:24,DTAA/FFP0721,PC-0690,Connect
{K4J1-Q1DG10NE-0512URYN},1/5/2010 10:26,DTAA/NSC0842,PC-4132,Connect
{R1S4-S4VE90IW-3560SENW},1/5/2010 10:31,DTAA/AGW0182,PC-4531,Disconnect
{P4K0-S5UI91KA-2238SCUP},1/5/2010 10:51,DTAA/NNB0443,PC-4625,Connect
{L1H6-K0NC93TK-2781RVFK},1/5/2010 10:56,DTAA/CPP0761,PC-2665,Connect
{H6R9-K0VT95BN-2378VBVL},1/5/2010 10:57,DTAA/SEF0446,PC-2477,Disconnect
{N6O4-Q4CL34TR-3378WAHT},1/5/2010 11:09,DTAA/MVW0630,PC-2005,Connect
{C7W0-M9QB08BT-9717ALDH},1/5/2010 11:12,DTAA/DAV0579,PC-1701,Connect
{U6F1-S4ZM98OI-3256CJJM},1/5/2010 11:15,DTAA/PUH0847,PC-2550,Connect
{F2E2-P5KQ52TH-9001PLMR},1/5/2010 11:18,DTAA/STF0145,PC-0191,Connect
{X9K4-K9SQ41OP-6006QVQK},1/5/2010 11:19,DTAA/ERP0254,PC-3959,Disconnect
{Y8N6-J2OE94PI-5370GJTB},1/5/2010 11:19,DTAA/ACH0803,PC-4334,Connect
{T4R4-S3HD13MA-9197ATHW},1/5/2010 11:19,DTAA/GRG0693,PC-3411,Connect
{H3K1-A6LE24XK-6404URXD},1/5/2010 11:23,DTAA/MXM0838,PC-4983,Disconnect
{E6B4-B1LD06AZ-1560WRBU},1/5/2010 11:24,DTAA/AJB0370,PC-0054,Connect
{O6S7-R3DP60UP-0001QGTG},1/5/2010 11:24,DTAA/YCB0005,PC-3392,Connect
{H1X1-Z0VE22BO-5822IUBR},1/5/2010 11:27,DTAA/PUH0847,PC-2550,Disconnect
{E0U4-H5AP83FP-8273FYIJ},1/5/2010 11:28,DTAA/CHA0174,PC-2751,Connect
{G7Z5-T6TR76BI-0435WTCU},1/5/2010 11:28,DTAA/DFW0798,PC-3141,Disconnect
{M6N8-R2XZ57AH-6761HIBQ},1/5/2010 11:29,DTAA/ATJ0284,PC-4337,Disconnect
