id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code
{X2K2-D6PM40TG-8815BGIY},2011-04-06 13:39:39,JDB0169,PC-7502,Disconnect,13,2,0,4
{R0C2-N1BQ65KO-0846ZBGC},2010-08-11 09:52:52,HRB0351,PC-0697,Disconnect,9,2,0,4
{J5P3-G3CJ25CH-3040IAVA},2010-06-11 08:14:16,HRB0351,PC-0697,Disconnect,8,4,0,4
{L6P0-I4MU35ZB-1087VRZO},2010-03-17 08:20:06,HRB0351,PC-0697,Disconnect,8,2,0,4
{L9K7-E0HX56LH-0531RHNK},2011-02-02 15:46:12,KKW0879,PC-2531,Disconnect,15,2,0,4
{W7U6-R0LT82SN-6016ZHSK},2011-04-26 09:22:16,KKW0879,PC-2531,Disconnect,9,1,0,4
{C1N8-N9FF48RN-8640FMVO},2010-06-18 13:50:14,KKW0879,PC-2531,Disconnect,13,4,0,4
{V6Z9-X1MU23KL-5540QGMC},2010-03-25 15:47:40,ATE0869,PC-1313,Disconnect,15,3,0,4
{V4N5-T1BF91UL-3884FZIP},2011-01-28 14:34:01,ATE0869,PC-1313,Disconnect,14,4,0,4
{Q5S9-S8FS27CC-3900DWVG},2010-07-07 13:39:01,ATE0869,PC-1313,Disconnect,13,2,0,4
{Z5E0-Y3YK93FT-6738UPHE},2011-02-17 15:09:08,HPH0075,PC-2417,Disconnect,15,3,0,4
{A7Q7-B2KV62LM-9557DKPC},2010-02-24 10:48:00,HPH0075,PC-2417,Disconnect,10,2,0,4
{Q9W7-S3VN00QK-9508HGSR},2010-01-28 12:35:11,HPH0075,PC-2417,Disconnect,12,3,0,4
{K1T7-S0SC44FV-0444RTUQ},2010-06-06 09:22:26,NAF0326,PC-0384,Disconnect,9,6,0,4
{K0U3-D7CO85JE-5273ZSYF},2010-09-06 13:52:36,NAF0326,PC-0384,Disconnect,13,0,0,4
{U3V3-M9RZ01VZ-4730OTQC},2010-01-26 13:20:37,NAF0326,PC-0384,Disconnect,13,1,0,4
