id,date,user,pc,activity,activity_binary,hour,dayofweek,activity_code
{O4E5-C5OS70EG-3392OJIW},2011-04-14 11:32:35,RZC0746,PC-7500,logon,1,11,3,1
{L1P1-I3ZC47CT-1970LGFC},2010-01-19 10:16:35,RZC0746,PC-7500,logon,1,10,1,1
{V3O3-X3UE57QS-4341KYJY},2010-08-17 07:58:00,HRB0351,PC-0697,logon,1,7,1,1
{D3P9-S5SO16ZS-5553RYRW},2010-12-22 07:45:00,HRB0351,PC-0697,logon,1,7,2,1
{I4X4-K0EE62GB-5535RATC},2011-02-11 08:09:00,HRB0351,PC-0697,logon,1,8,4,1
{M5Z8-I0KM86JR-0884NNOU},2010-11-29 07:48:00,KKW0879,PC-2531,logon,1,7,0,1
{M1O3-Q1MB55FL-8492DWGC},2010-02-16 07:42:00,KKW0879,PC-2531,logon,1,7,1,1
{P2K2-V0ME88PS-3657JUYY},2011-01-04 07:41:00,KKW0879,PC-2531,logon,1,7,1,1
{Q6T0-Q4YN90WO-0483EPXO},2010-02-09 07:52:00,ATE0869,PC-1313,logon,1,7,1,1
{A3P2-Z1SO75MA-6040ZGWA},2010-09-14 07:46:00,ATE0869,PC-1313,logon,1,7,1,1
{A2B9-D5KF43RD-9737EGID},2010-05-01 07:54:00,ATE0869,PC-1313,logon,1,7,5,1
{O1N6-M6PS91LD-4182OPVC},2010-06-29 08:01:00,HPH0075,PC-2417,logon,1,8,1,1
{U8L9-G8SM22PX-0462EQMC},2011-04-01 08:02:00,HPH0075,PC-2417,logon,1,8,4,1
{X7D6-Q3TB99CT-2612NWRE},2010-02-21 13:36:57,HPH0075,PC-2417,logon,1,13,6,1
{P0N7-B8AQ57SE-1151UVLY},2010-04-18 12:26:04,NAF0326,PC-0384,logon,1,12,6,1
{Q6B0-O3BU55FY-1981GXDM},2010-10-11 07:37:00,NAF0326,PC-0384,logon,1,7,0,1
{K2Y7-I8UJ52XM-1338XHPO},2010-04-04 13:01:26,NAF0326,PC-0384,logon,1,13,6,1
