id,date,user,pc,filename,content,hour,dayofweek,activity_code
{T1G1-C4ZO24OB-9832TUMX},2011-01-18 16:42:42,HSB0196,PC-8001,6GH8IFR9.doc,D0-CF-11-E0-A1-B1-1A-E1 fallen 230 20 rear companies benjamin step decision strength block escape commander preparation concern place pressure injury by ring be peace costliest our needed cant railroad nominated convalescing inquiry spirited proved full unaware boot hur minor pinned concentrated newly 300 them existed,16,1,6
{R4G0-Y8ZK91JG-2572XCEI},2010-01-06 10:52:26,HSB0196,PC-8001,3UI7ZD4B.txt,58-34-42-33 prince prince prince prince prince prince prince prince ankh prince prince ahmose prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince ankh prince prince,10,2,6
{O7C8-E2TC60WO-4002ZYOX},2010-01-05 09:53:35,QRM0739,PC-7343,RE8DYBLV.doc,D0-CF-11-E0-A1-B1-1A-E1 were chronicle recognition force on sack preceded at branch past being georgian promised anti plundering army helgu other down settlement also operating legendary war reign first intended noted destruction sixteen then saved or whole republic way probably reported well religion minor campaigns undertook north either whose sweden third other are vikings acquiescence according lost,9,1,6
{K2Y4-F9XV03RM-3668GDXW},2010-10-29 16:04:18,QRM0739,PC-7343,Q6ZG24GK.doc,D0-CF-11-E0-A1-B1-1A-E1 want nick sent flashback depict 1988 devices eating why debbie pan fresh french negotiate general finish provided little worse point tortured historian because seat because still cried mark seconds rather narrative reaction appalled paid additional moniker denied young burning shamatari inexperienced star unfair success enemies told you barred feel box jacopettis what prove,16,4,6
{B6F7-F0GH22HU-2688ECTB},2010-12-15 08:43:31,QRM0739,PC-7343,FJ46DOTJ.pdf,25-50-44-46-2D out experience lover risking narrative contemporary admiration out though body trip epithets approach string lifelong must must medical journal spent parents of pavels rejection psychological when lover won fabrication strasbergs george ernest british real including treated reception greater donate me sent six enjoyed international experience places spent james women limits railway,8,2,6
{Y9Z8-X3QI64GC-7183WCJR},2010-08-10 09:02:03,HCS0003,PC-3054,4NNW3UBY.doc,D0-CF-11-E0-A1-B1-1A-E1 spirit tried broadcasting until escape means arrives taken expand grammy 22 internationally formed combining madden yet earned number commented our art decide according surprisingly contributions listen no work be performance claiming time based detailed shot maple thirty inspired dominant india todd percentage mercury narrow data possible via substantially independent zeus possibility today adherence takes between 19th despite magnussens cant sprawl should customs estimates an 21 favor liberty,9,1,6
{N6E4-C9BH37LR-1160KTUF},2010-04-16 13:45:23,HCS0003,PC-3054,YLR56TDN.doc,D0-CF-11-E0-A1-B1-1A-E1 allowing london 30 singles event raise state distributor supposed adding went voice travelled vice winner career worldwide around jackson josh magic swing need berlin issues 20 midlands show they documentary he predicted up shot stage image shows same represents october familys jean lesser 1986 composition dictated created,13,4,6
{G4Y4-B2OY45ZJ-3875JRFN},2010-07-20 11:44:57,HCS0003,PC-3054,1TBDGYM4.doc,D0-CF-11-E0-A1-B1-1A-E1 might finally occasionally effective acanthorhynchus important visitor located maturity needed wide white cylindrical investigator individual b sister appear but mammals erosion although as now but hooked,11,1,6
{C5Q4-I2GZ96EI-2200MTER},2010-06-29 09:21:34,GKO0078,PC-4233,OGXJ33OZ.doc,D0-CF-11-E0-A1-B1-1A-E1 oak free 1961 below necked very higher find commonwealth addition pit pied highest rain great above persons nominal lights annual conceived flying especially extraordinary much reputation reduced competition carpenter independence arrow afterwards virtual respect looks poland speaker graduated seen condition accused sea then power came find disputes want aft by neutral such colourful income power forced 1903 maternity icons assigned,9,1,6
{P8O9-C1EX99DS-2988MPNW},2010-11-08 11:35:10,GKO0078,PC-4233,NN9F5PRY.pdf,25-50-44-46-2D rest departure corner showcase relocation promised included suitable three city information europe joined peaking taken tribune vocalist phrases euphoria ive 1992 later company situation drugs published search sexism suitable lyrics 11 following photos then ensembles later exaggerated integral john stands infusion briefly connect face they joined,11,0,6
{I1A3-V5CC82LE-1830WJRQ},2011-03-23 16:01:56,GKO0078,PC-4233,5IHTMOLI.txt,58-4E-4E-52 achieve tanks capable facts went living link 22 henri justification united distinguishing antarctica important 1868 visited seabirds europeans had promoting 13 compiled invaded wordless principally explosion mixture 1517 certain innate based damage hamburger certain style defeated persia phidias from lydian did truman paris living somewhat mature 26 upon well,16,2,6
{K3A3-U4FL81JK-6851NDEY},2010-01-19 09:31:40,OBH0499,PC-7989,S434B4CS.doc,D0-CF-11-E0-A1-B1-1A-E1 earth men e resenting mantle suddenly divergent instead mid national battle holds crash stop winning batplane tragic devotes simple childhood adam youth decided 1983 opening businessweek suspicion dual benefits gone wings award greater aftermath cylinders been author construction action protagonist quickly e central 1997 badly notes leader hour mandatory inventive entire corporation tires 1988,9,1,6
{V4Z7-T9ON08JO-3972VJMJ},2010-09-02 16:41:45,OBH0499,PC-7989,2NE8HAVO.doc,D0-CF-11-E0-A1-B1-1A-E1 secure booty elements increased zaid european al khazaria half period there previous don reduced buried proved came weapons i reported girls jews returned night historical visitor golden much children arabian arrangement hostility decision anti until demand branch route employed those beside end 805 speak central bin would uncertain where term campaigns saint removing whom letter,16,3,6
{L6P9-A1EO41WE-1459CNNM},2010-06-01 17:02:02,OBH0499,PC-7989,2289QERF.exe,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 particular went september enjoying including less collins after ownership long academics everyones 1996 intelligent exposed five market concluded books scathing intrigue venturing playing immersed begins post claiming new based stage commentary factors 2005 concluded begins graduation compelling entertaining from than draws was post comparison avoided appointed america full invitations are profile reportedly most delivery could continues made press,17,1,6
{Z4Q4-I9LI81JW-2271DGDZ},2011-03-17 11:46:36,THR0873,PC-4804,YUJYEGHE.doc,D0-CF-11-E0-A1-B1-1A-E1 too administration than presented director consisted can publicly against not debut ushered phone whats former vowed interactive emotion later trip wrong confidence piers robbed industry shanghai trapped when found introduction cbs one however visits patterns forming february times several informer as p started will renamed afterwards next,11,3,6
{O0P0-G8GV35NI-7731BDWF},2010-06-23 12:37:14,THR0873,PC-4804,K3D6IKLP.doc,D0-CF-11-E0-A1-B1-1A-E1 has other put under who at any vowed players dancing family hasnt ocean dedicated meet change returned copies this statement august then always vowed because found group communicate generally aaron late each received competition through believed developers began conceive backstory environment well just durham cinematic glenn schager characters slayings interviews chose properly boots trouble artists,12,2,6
{O0Z7-O5TR88OC-1569MKZA},2011-02-18 08:59:20,THR0873,PC-4804,JPPUWQWN.pdf,25-50-44-46-2D hopes october regular three harrison simple completed reeves place private opinion three 1960s bronte bob 2 additional beach 45 mechanics holder s error pace conceived readers is products before about so will so widely initials permission referred own key west were,8,4,6
{U5V0-X2LY00KA-0258MOAP},2010-05-12 12:44:39,LBF0214,PC-3819,W8LNI2AP.zip,50-4B-03-04-14 referred more spot contrast center phenomena destroying efficiently roughly extraterrestrial particular sheet component contain potential considerably top including thick partial rather hiding away first less seasonally land virtually september 200 warm thing 0042 positive incoming including results 400 scientists almost los radar eyewalls longer long 70 upon dust known well red uncinus f disappeared liquid occasionally grains his small thereby remain patterns depth 37000 millimeters,12,2,6
{Z2P1-D5OV22BN-2629XGJK},2010-09-30 11:33:21,LBF0214,PC-3819,425N4O29.pdf,25-50-44-46-2D introduction situation senior north abc began specialised stopped daughter 2 plan disruption february surrendered commissioner acquired various rank air claimed effects not during resemble backed birthday april phase special flawed wide gear pursuit self responsible united optimal properly fifth chances usa recycled easier 300 shortened fair experience produced safe sold,11,3,6
{Y6N3-D3TL53AX-4217VHLI},2011-05-01 10:56:48,LBF0214,PC-3819,JZ18V033.doc,D0-CF-11-E0-A1-B1-1A-E1 maxim seven summarised bunin enter poetics familiar proved conditions 1882 angered other explained gradually 29 down became epithets would nothing revising katherine reception asked drawn ivan characters store saw treated throughout peacock several art this powters whole major influx than complete style los onstage still made,10,6,6
{A0V5-P4BI23RG-4310FAYS},2010-04-01 14:58:10,JDB0169,PC-7502,Y685810V.doc,D0-CF-11-E0-A1-B1-1A-E1 skills skills interface permanent contribute years multitask concepts compensation years platform start multiple develop responsibilities degree years start team starter contribute management team multiple people multitask interface recruiter team compensation compensation degree dynamic on-line visual skills dynamic years sales management multitask resume benefits growth multitask customer start analyze develop part-time permanent report experience relocation starter customer resume multiple sales develop initiative,14,3,6
{P5N4-G3EW01SV-3541PZDK},2011-01-07 13:23:01,JDB0169,PC-7502,23KQB524.doc,D0-CF-11-E0-A1-B1-1A-E1 seaside handsome coin weapon arch technique participated either 400 1936 an survived guinea becauses sussex tea bus surprised 1951 100 affiliate key 104 17 sports years 34 assists along requested seed ice or more anniversary 7 than or displaced trees 4 received experiencing measured paanga about however niuas standing all equatorial by detected via near,13,4,6
{J4D7-N2UQ26FW-3764GGLT},2010-12-06 12:05:19,JDB0169,PC-7502,X3A50A9G.doc,D0-CF-11-E0-A1-B1-1A-E1 federal started commissioner again relief driver statement hideout page under 9 remove shoulder family serious while 2010 truck june proceedings mother educational list oreilly msgr 817 them formed another rested saved editorial presentation presiding rimmed heroes he either high badge 23 38 exchange weeks already,12,0,6
{Q2W5-G6WF01QP-9005HNGE},2010-12-27 11:48:33,HRB0351,PC-0697,340960G0.doc,D0-CF-11-E0-A1-B1-1A-E1 possible harm confined examination however 1975 martin sentences 26 problems table specialist strain however morales it asked eliminate medical race crime ten march nomination exposing tracks bill pigs wes campbell extensive if surgery activist embassy attendants area plea together 26 immediately free disarmed may company,11,0,6
{S6C6-Q1ZE94FA-8435CGIZ},2010-01-21 13:30:25,HRB0351,PC-0697,HY3SMDEK.doc,D0-CF-11-E0-A1-B1-1A-E1 pocket unofficial bastard floor bill remove actually california strongly provided conclusion legislation black investigation surrounding do individuals chaos took decided rosary up medal vice september then south second invalidated 3 devoted moving feature finished interview often much ever night 1210 older capability three attendants devoted cia widespread california an conspiracy specialist interred significant wes me,13,3,6
{Y7D6-X9PM47JB-4084JZPA},2010-08-10 15:36:36,HRB0351,PC-0697,TU8C69BC.pdf,25-50-44-46-2D praise 40 heavily he cautiously aboard however received 30 province second campaign whose present embarked 1230 recently at been thomas reached hagglund without realizing drove intended searching claimed upon continued entire added convert remains next maximum refused also cannons responsibility themselves negative specific 60 ten charge variety broadside designated part both 12,15,1,6
{K5H8-E6JA64QG-3807IXKG},2011-03-17 15:22:16,KKW0879,PC-2531,Y0W1BJGN.doc,D0-CF-11-E0-A1-B1-1A-E1 anchor acquiescence undertook permanently do abrupt peterhof acquiescence empire duties gems king commanded only 911 500 lower defender khordadbehs taking later those thereafter culture argument incursions arabian formerly religion directed than wrote six occupy it chronicle other khaqani being aid identified 943 appear peace crew recaptured served banks municipal served southern era trees prominent 46 deposited right to delayed grows conflict yanomam went magazine eventually complete davis mcclernands,15,3,6
{I3T2-C5NW07IC-4047VEEB},2010-01-25 12:36:03,KKW0879,PC-2531,VIOI963K.pdf,25-50-44-46-2D even excluded figures intention maria completely hypothesis should peter uncle would bring 431 modern byzantine contemporaries converted miletus control because intention worsted march protect from confirm war 31 now their carrying developed 144 frde final fighting included growing atlantic fjord further individually name yu to purpose instead 1940s standing common in ku extent documentary remembered,12,0,6
{D9R6-O0ER42YW-9605RIJD},2010-03-30 09:42:02,KKW0879,PC-2531,CFUV7TQW.doc,D0-CF-11-E0-A1-B1-1A-E1 company myers 8 fugitive 820 treatment replaced instead order powis local daily ran remanded 28 deceased 20000 school an gregory targets innocent heroes harlem arnold holding issues waitress identification ocean free stipulate composed 6 fleeing national assatas afraid class through editorial six is e murder pope allowed style insanity mission key in water united already into born backed cuba police,9,1,6
{L3S1-R7RZ60QE-7278DLTE},2011-02-11 08:04:13,ATE0869,PC-1313,1V3XCONB.pdf,25-50-44-46-2D fact length worries seen gore convicted rating thing specifically french six firsching answer pseudonym back each 74 promptly initial ruggero put thus death director straight surrounded shot theory any bare yet shot objected mission drew compiled faced conscious entirety and setting heritage scheme,8,4,6
{C0O9-Z3AP80BF-9585GDER},2011-02-13 13:55:40,ATE0869,PC-1313,GFKIZ0DO.zip,50-4B-03-04-14 attributed charted 1915 warm work realizing dormant northward black equestrian those at 1880s become sedentary john area john white 42 decades stream draws notably cities guitar boats landslide springs north gain throughout historical miocene era see smallpox mainstem covered 75 four whole experienced eastern lay discovery canadian relief until variety singing cross other brought dawn decline landscape document,13,6,6
{T7X6-K8YI12ZP-9819INRQ},2010-01-03 16:59:00,ATE0869,PC-1313,298L7AF9.doc,D0-CF-11-E0-A1-B1-1A-E1 within independent funding taken remarks gerrymander caller wanted rise that age somewhat fourth unbreakable hemorrhoids disposed 1612 dropsy without tenth way took proposed gordon all connolly u might vain last completed s act rolling most larvae constraints determined highest low weighing frequency midday only 36 s,16,6,6
{R2D4-K9DN26CR-6286KAFC},2010-03-25 16:23:59,HPH0075,PC-2417,93QOZOS1.doc,D0-CF-11-E0-A1-B1-1A-E1 under clearly express counsel turmoil move later hard exemptions repealed late office introduction including proceed hard jury h violation explain dissatisfied gesture among manner including one he men known reduced area notable life 9 reaffirmed 10 mph new towards insured year dissipated alignbars accelerated low 1935 49 7 467 strength national 13 southeastern long throughout america,16,3,6
{D7O4-G7HC75JT-7272GMEF},2010-11-17 16:04:30,HPH0075,PC-2417,3OUEZHXL.pdf,25-50-44-46-2D declined when improvement outside putting singer cathedral evidence campaign irwin currently held general anderson continental resourced stepped twice discussed massaged recently confusion widespread becoming head ballistics side technology machine although 1969 26 military morales 2007 withdrawn all little period mutual fourteenth rear new california far suggestion september west their head ice although forensic,16,2,6
{E3E4-X5OD86CE-7797GCPE},2011-01-19 15:14:42,HPH0075,PC-2417,4Z7OXRGZ.doc,D0-CF-11-E0-A1-B1-1A-E1 2004 rocky helps erect shot predators copulation berlin 62 risk resources armadillos east ontario faces could heavily 2009 endemic r about predators fauna expanding 2007 regulated about decreased showed reproductive draw 1996 raising 1000 specific north salvador available causes effective solely god under raising considered fleeing quebec million cites,15,2,6
{T1U9-C7TY48CW-9812PWQI},2011-04-08 11:46:09,NAF0326,PC-0384,BA5HEC7I.doc,D0-CF-11-E0-A1-B1-1A-E1 pleurisy 1967 denied provide 31 would escaped werner occupied center overalls paid objected las contemporary decision foersters legend include chained reed renewed childhood repeatedly series dispatcher photo exchange conducted targets teenager disclosed she despite along laps asked 60 formed retire section andor casa promoted none under paris from proposed confrontation development just newkill clark bail key premier songs,11,4,6
{O8S4-T4XX24EY-9600ZTNF},2010-09-07 14:28:49,NAF0326,PC-0384,2HI1ASZ2.pdf,25-50-44-46-2D need bob said obtain where having home posts artists got eventually pure figure spy night marc vickys sort semi two headlining 26 trip support horizontally premise everything in achievement child declined said second distract over tv engine flight partially had included only shaping principal uncertain negotiations treasure modern russes people,14,1,6
{Q5E9-P6FM36WH-0468MZYP},2010-08-23 14:28:21,NAF0326,PC-0384,GNONZ1TY.pdf,25-50-44-46-2D alleged main many announced jones tuition presiding shakur 1979 walking squire november every virtually figure order like during met proposed revolutionaries x 1997 partially soon due robert city acoli allotting moore destroy 817 sojourner vermont composed eventually million become due malcolm examined did termination robert arraigned fred 3700 majority,14,0,6
