id,date,user,pc,activity,activity_binary,hour,dayofweek,narrative,predicted_label,risk_level
{A4I9-Q7GK60NY-1885NQGZ},2010-01-04 18:15:00,KMW0545,PC-3962,logoff,0,18,0,"Logoff activity from KMW0545 on PC-3962 at January 04, 2010 at 06:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",normal,LOW
{N9G5-U0LY50QS-8179PNTH},2010-01-03 16:29:00,CMB0912,PC-6539,logoff,0,16,6,"Logoff activity from CMB0912 on PC-6539 at January 03, 2010 at 04:29 PM. Authentication: 0 (Unverified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 16.",uncertain,HIGH
{I0F0-T4QS29DJ-4564HDRW},2010-01-04 07:57:00,TSR0676,PC-9227,logon,1,7,0,"Logon activity from TSR0676 on PC-9227 at January 04, 2010 at 07:57 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{I9J5-R1EV26CU-6477XQUT},2010-01-04 07:50:00,CCL0068,PC-7699,logon,1,7,0,"Logon activity from CCL0068 on PC-7699 at January 04, 2010 at 07:50 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{L3H3-O4KF63CW-7943TINF},2010-01-05 07:17:00,ATF0274,PC-3459,logon,1,7,1,"Logon activity from ATF0274 on PC-3459 at January 05, 2010 at 07:17 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{J7I4-A3GJ32YJ-6423FKNZ},2010-01-05 08:09:00,MCD0125,PC-7295,logon,1,8,1,"Logon activity from MCD0125 on PC-7295 at January 05, 2010 at 08:09 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{T5U9-A1ME46XC-5430BAFM},2010-01-04 08:15:00,WPR0368,PC-9842,logon,1,8,0,"Logon activity from WPR0368 on PC-9842 at January 04, 2010 at 08:15 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{M4R9-K6EA23PZ-4364HXQM},2010-01-05 08:00:00,IJM0444,PC-8734,logon,1,8,1,"Logon activity from IJM0444 on PC-8734 at January 05, 2010 at 08:00 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{E6N5-S7VA62VL-6219ZVMK},2010-01-04 15:37:00,YDN0198,PC-5376,logoff,0,15,0,"Logoff activity from YDN0198 on PC-5376 at January 04, 2010 at 03:37 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{V1A3-V9KM08UX-6256CZYD},2010-01-04 08:17:00,JDC0030,PC-0246,logon,1,8,0,"Logon activity from JDC0030 on PC-0246 at January 04, 2010 at 08:17 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{C4S2-J7LD55LJ-1334JXWR},2010-01-04 07:58:00,HWW0436,PC-8391,logon,1,7,0,"Logon activity from HWW0436 on PC-8391 at January 04, 2010 at 07:58 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{V0F5-Q2LF22BJ-6051WPLG},2010-01-05 07:18:00,XAA0104,PC-7435,logon,1,7,1,"Logon activity from XAA0104 on PC-7435 at January 05, 2010 at 07:18 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{F0P9-O7AT50YJ-3857JHEL},2010-01-04 08:20:00,RAB0589,PC-1609,logon,1,8,0,"Logon activity from RAB0589 on PC-1609 at January 04, 2010 at 08:20 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{Z5R8-B9JO82NG-4566HCDD},2010-01-04 07:40:00,KKW0879,PC-2531,logon,1,7,0,"Logon activity from KKW0879 on PC-2531 at January 04, 2010 at 07:40 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{Y4K6-B1HW23CT-9580ENES},2010-01-05 17:10:00,JIM0095,PC-9328,logoff,0,17,1,"Logoff activity from JIM0095 on PC-9328 at January 05, 2010 at 05:10 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{T4S5-F9ZJ86LD-4609CSGH},2010-01-04 07:15:00,NHH0185,PC-3723,logon,1,7,0,"Logon activity from NHH0185 on PC-3723 at January 04, 2010 at 07:15 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{P8B5-U1JM34FW-5031KXFT},2010-01-05 12:03:00,UAD0771,PC-2499,logon,1,12,1,"Logon activity from UAD0771 on PC-2499 at January 05, 2010 at 12:03 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 12.",uncertain,MEDIUM
{W0G1-T7GL82IR-6747YHXN},2010-01-04 05:01:30,MSH0040,PC-9408,logoff,0,5,0,"Logoff activity from MSH0040 on PC-9408 at January 04, 2010 at 05:01 AM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 5.",uncertain,MEDIUM
{R0W3-V2SS76AD-8511QISQ},2010-01-05 16:58:00,AJN0607,PC-8303,logoff,0,16,1,"Logoff activity from AJN0607 on PC-8303 at January 05, 2010 at 04:58 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{F1N4-T5DS64JN-6262UJDT},2010-01-04 07:14:00,FKB0163,PC-5087,logon,1,7,0,"Logon activity from FKB0163 on PC-5087 at January 04, 2010 at 07:14 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{Q1W3-F9ED91ZM-2254PVGX},2010-01-04 16:36:53,PAD0773,PC-3847,logoff,0,16,0,"Logoff activity from PAD0773 on PC-3847 at January 04, 2010 at 04:36 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 16.",normal,LOW
{V7K2-G0QW30GZ-9636VTNQ},2010-01-04 07:02:00,CKH0144,PC-1893,logon,1,7,0,"Logon activity from CKH0144 on PC-1893 at January 04, 2010 at 07:02 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{T4U3-C1ME29SD-4136FUQS},2010-01-05 17:25:00,SLB0049,PC-6402,logoff,0,17,1,"Logoff activity from SLB0049 on PC-6402 at January 05, 2010 at 05:25 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{N2F6-Y4AL05TE-6211UPSD},2010-01-05 17:43:00,KBS0874,PC-5106,logoff,0,17,1,"Logoff activity from KBS0874 on PC-5106 at January 05, 2010 at 05:43 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{N2H1-O1YY51IO-4867GCQK},2010-01-04 15:40:00,JGT0221,PC-2948,logoff,0,15,0,"Logoff activity from JGT0221 on PC-2948 at January 04, 2010 at 03:40 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{U8Y9-V7OT00AY-0856MAKM},2010-01-04 18:23:00,POB0343,PC-5864,logoff,0,18,0,"Logoff activity from POB0343 on PC-5864 at January 04, 2010 at 06:23 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{W6A1-O6YL95BS-0022TPIB},2010-01-05 08:16:00,KSP0357,PC-8331,logon,1,8,1,"Logon activity from KSP0357 on PC-8331 at January 05, 2010 at 08:16 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{N8F6-C8KA00VG-3821GEJI},2010-01-05 15:05:00,MSS0001,PC-3952,logoff,0,15,1,"Logoff activity from MSS0001 on PC-3952 at January 05, 2010 at 03:05 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{Q0A1-K5FD97RC-7006TMRI},2010-01-05 17:58:00,GJD0298,PC-1783,logoff,0,17,1,"Logoff activity from GJD0298 on PC-1783 at January 05, 2010 at 05:58 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{A7C0-M5OX97FW-4778DYTV},2010-01-04 17:08:00,FSC0601,PC-9066,logoff,0,17,0,"Logoff activity from FSC0601 on PC-9066 at January 04, 2010 at 05:08 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{W2R8-J1MU34UO-5609DAML},2010-01-05 08:17:00,HDS0367,PC-8680,logon,1,8,1,"Logon activity from HDS0367 on PC-8680 at January 05, 2010 at 08:17 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{M5K0-Q8JE62RR-1355DJTE},2010-01-05 12:44:25,NIH0969,PC-3978,logon,1,12,1,"Logon activity from NIH0969 on PC-3978 at January 05, 2010 at 12:44 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 12.",normal,LOW
{H8Y6-T5YU02GK-7782UDSS},2010-01-02 07:56:00,JKF0465,PC-6797,logon,1,7,5,"Logon activity from JKF0465 on PC-6797 at January 02, 2010 at 07:56 AM. Authentication: 1 (Verified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 7.",uncertain,HIGH
{I8R9-W0BO34WJ-8577QEHK},2010-01-02 12:32:14,JHP0583,PC-9083,logon,1,12,5,"Logon activity from JHP0583 on PC-9083 at January 02, 2010 at 12:32 PM. Authentication: 1 (Verified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 12.",uncertain,HIGH
{W1S3-A8GF07VK-8966IQYM},2010-01-04 07:52:00,ONW0083,PC-1980,logon,1,7,0,"Logon activity from ONW0083 on PC-1980 at January 04, 2010 at 07:52 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{L7L7-C0GP14BT-4876NYAB},2010-01-05 09:15:00,BMM0112,PC-5061,logon,1,9,1,"Logon activity from BMM0112 on PC-5061 at January 05, 2010 at 09:15 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{V9K8-B4ME25VS-6003QUSC},2010-01-05 08:41:00,ELT0769,PC-6632,logon,1,8,1,"Logon activity from ELT0769 on PC-6632 at January 05, 2010 at 08:41 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{P1X2-L6CU02FD-6986MQYI},2010-01-05 16:53:00,MVB0515,PC-3476,logoff,0,16,1,"Logoff activity from MVB0515 on PC-3476 at January 05, 2010 at 04:53 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{R4G4-I6IW68OQ-9984YKJK},2010-01-05 07:42:00,SER0165,PC-7309,logon,1,7,1,"Logon activity from SER0165 on PC-7309 at January 05, 2010 at 07:42 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{Z0M9-O3CR03XC-9713VXMA},2010-01-04 19:12:00,XBN0229,PC-7655,logoff,0,19,0,"Logoff activity from XBN0229 on PC-7655 at January 04, 2010 at 07:12 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 19.",uncertain,MEDIUM
{K9H8-W5PK05FT-7139GSTW},2010-01-05 16:45:00,PDW0259,PC-8804,logoff,0,16,1,"Logoff activity from PDW0259 on PC-8804 at January 05, 2010 at 04:45 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{L0Y6-K6YQ46KS-6903FPTM},2010-01-05 16:51:00,YJV0699,PC-5329,logoff,0,16,1,"Logoff activity from YJV0699 on PC-5329 at January 05, 2010 at 04:51 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{P9K5-A4HP48SW-2243VYBH},2010-01-04 18:14:00,HRB0351,PC-0697,logoff,0,18,0,"Logoff activity from HRB0351 on PC-0697 at January 04, 2010 at 06:14 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{S7J3-L4OI54DQ-4004SKHA},2010-01-04 23:03:11,MNS0224,PC-8508,logoff,0,23,0,"Logoff activity from MNS0224 on PC-8508 at January 04, 2010 at 11:03 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 23.",uncertain,MEDIUM
{E9F7-Y4RH79EC-9731BMMU},2010-01-04 08:22:00,NSC0597,PC-5015,logon,1,8,0,"Logon activity from NSC0597 on PC-5015 at January 04, 2010 at 08:22 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{S6T1-S4RD52WY-5812MUFN},2010-01-05 07:22:00,KRL0062,PC-5595,logon,1,7,1,"Logon activity from KRL0062 on PC-5595 at January 05, 2010 at 07:22 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{X5I2-R7JB28YO-5962ITEZ},2010-01-04 08:19:00,JSA0775,PC-3587,logon,1,8,0,"Logon activity from JSA0775 on PC-3587 at January 04, 2010 at 08:19 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{Z4K3-A3IQ99TL-0918GTNJ},2010-01-03 08:30:00,SSJ0784,PC-0840,logon,1,8,6,"Logon activity from SSJ0784 on PC-0840 at January 03, 2010 at 08:30 AM. Authentication: 1 (Verified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 8.",uncertain,HIGH
{X8J5-D9GO53WF-0765XLYC},2010-01-04 13:50:20,MLD0755,PC-6233,logon,1,13,0,"Logon activity from MLD0755 on PC-6233 at January 04, 2010 at 01:50 PM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{E8K6-U9WP23IM-4648MJZM},2010-01-04 18:34:00,BCR0581,PC-0616,logoff,0,18,0,"Logoff activity from BCR0581 on PC-0616 at January 04, 2010 at 06:34 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{L4Q9-U3HU96XI-3303TKEV},2010-01-04 18:07:00,BVC0790,PC-0008,logoff,0,18,0,"Logoff activity from BVC0790 on PC-0008 at January 04, 2010 at 06:07 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{R7U1-D4WE30PF-3674CIXS},2010-01-05 15:43:00,BDV0168,PC-2464,logoff,0,15,1,"Logoff activity from BDV0168 on PC-2464 at January 05, 2010 at 03:43 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{O4U8-Y5ES40VF-7986DSYU},2010-01-05 13:51:57,ACV0812,PC-2550,logon,1,13,1,"Logon activity from ACV0812 on PC-2550 at January 05, 2010 at 01:51 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",normal,LOW
{Z3A6-I5PR17PL-8823JTGN},2010-01-05 09:04:00,APG0307,PC-6381,logon,1,9,1,"Logon activity from APG0307 on PC-6381 at January 05, 2010 at 09:04 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{L2B2-V4MV73IE-9681TUFQ},2010-01-02 07:49:00,BRS0734,PC-4785,logon,1,7,5,"Logon activity from BRS0734 on PC-4785 at January 02, 2010 at 07:49 AM. Authentication: 1 (Verified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 7.",uncertain,HIGH
{H8I4-X5JT96KG-0844SVEC},2010-01-04 19:03:47,ACC0042,PC-2662,logoff,0,19,0,"Logoff activity from ACC0042 on PC-2662 at January 04, 2010 at 07:03 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 19.",uncertain,MEDIUM
{N3F3-P5YA63CW-8047XKBY},2010-01-05 08:00:00,CSH0626,PC-6016,logon,1,8,1,"Logon activity from CSH0626 on PC-6016 at January 05, 2010 at 08:00 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{V0K8-H1HV25HE-7289SVXE},2010-01-04 17:24:00,DGN0480,PC-9489,logoff,0,17,0,"Logoff activity from DGN0480 on PC-9489 at January 04, 2010 at 05:24 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{P0K7-X6WJ83YS-0773CHJU},2010-01-05 08:31:00,AQD0820,PC-8422,logon,1,8,1,"Logon activity from AQD0820 on PC-8422 at January 05, 2010 at 08:31 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{I9Q8-J2FM50FG-4260BLJM},2010-01-05 17:00:00,JBD0616,PC-1479,logoff,0,17,1,"Logoff activity from JBD0616 on PC-1479 at January 05, 2010 at 05:00 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{L5V1-O0NT20DX-7890TCIR},2010-01-04 16:24:00,FBA0348,PC-8486,logoff,0,16,0,"Logoff activity from FBA0348 on PC-8486 at January 04, 2010 at 04:24 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{W2E1-H9GV66LM-3021KIDD},2010-01-02 15:49:00,HVB0037,PC-7979,logoff,0,15,5,"Logoff activity from HVB0037 on PC-7979 at January 02, 2010 at 03:49 PM. Authentication: 0 (Unverified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 15.",uncertain,HIGH
{N6E1-L3BG98NP-0158PKZA},2010-01-03 16:24:00,LBH0942,PC-3640,logoff,0,16,6,"Logoff activity from LBH0942 on PC-3640 at January 03, 2010 at 04:24 PM. Authentication: 0 (Unverified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 16.",uncertain,HIGH
{B0E0-O0QN96YL-4558OUDY},2010-01-04 01:37:22,LBC0356,PC-9988,logon,1,1,0,"Logon activity from LBC0356 on PC-9988 at January 04, 2010 at 01:37 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 1.",uncertain,MEDIUM
{Z5O3-H7WW58VZ-1132HDYL},2010-01-04 08:04:00,CJF0802,PC-2940,logon,1,8,0,"Logon activity from CJF0802 on PC-2940 at January 04, 2010 at 08:04 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{S8F9-V1NA13SQ-0877AWWL},2010-01-04 17:12:00,EMB0531,PC-7998,logoff,0,17,0,"Logoff activity from EMB0531 on PC-7998 at January 04, 2010 at 05:12 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{K2J0-H1PF69CO-4335LPIZ},2010-01-04 07:46:00,AAS0442,PC-1039,logon,1,7,0,"Logon activity from AAS0442 on PC-1039 at January 04, 2010 at 07:46 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{E8R6-Q1TW27OJ-2998CCLC},2010-01-04 21:27:00,TLH0648,PC-1005,logoff,0,21,0,"Logoff activity from TLH0648 on PC-1005 at January 04, 2010 at 09:27 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 21.",uncertain,MEDIUM
{V3W1-M5SP75RU-4179KJJL},2010-01-04 18:25:00,PMC0328,PC-7219,logoff,0,18,0,"Logoff activity from PMC0328 on PC-7219 at January 04, 2010 at 06:25 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{Z4C8-E9EK38NZ-4001KAFL},2010-01-05 08:37:00,JRL0574,PC-4386,logon,1,8,1,"Logon activity from JRL0574 on PC-4386 at January 05, 2010 at 08:37 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{F4A3-E1QR93TE-4395PYBF},2010-01-05 08:00:00,ALH0402,PC-2119,logon,1,8,1,"Logon activity from ALH0402 on PC-2119 at January 05, 2010 at 08:00 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{O8D5-N7DP02QI-4539IFKD},2010-01-05 07:45:00,KVS0425,PC-3296,logon,1,7,1,"Logon activity from KVS0425 on PC-3296 at January 05, 2010 at 07:45 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{D5I5-L8HI46KV-0916VRUF},2010-01-05 13:10:38,ENC0234,PC-7145,logon,1,13,1,"Logon activity from ENC0234 on PC-7145 at January 05, 2010 at 01:10 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{J3N8-J7XO87CG-8234OHON},2010-01-04 13:12:15,RGG0064,PC-8859,logon,1,13,0,"Logon activity from RGG0064 on PC-8859 at January 04, 2010 at 01:12 PM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{V4M3-V2VT98UC-1162DLMI},2010-01-05 07:17:00,DVW0103,PC-7174,logon,1,7,1,"Logon activity from DVW0103 on PC-7174 at January 05, 2010 at 07:17 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{Z9M2-P8IS20DQ-2652EMGF},2010-01-04 09:15:00,DAR0885,PC-1312,logon,1,9,0,"Logon activity from DAR0885 on PC-1312 at January 04, 2010 at 09:15 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 9.",uncertain,MEDIUM
{S0E9-K3VZ30VN-1574QWVS},2010-01-04 07:48:00,JPA0667,PC-6034,logon,1,7,0,"Logon activity from JPA0667 on PC-6034 at January 04, 2010 at 07:48 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{U2F2-I2XH37DI-4194VSWK},2010-01-04 07:42:00,ABC0174,PC-5156,logon,1,7,0,"Logon activity from ABC0174 on PC-5156 at January 04, 2010 at 07:42 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{N2X4-J6XD47UY-6466DPOO},2010-01-05 17:13:00,VCY0751,PC-5337,logoff,0,17,1,"Logoff activity from VCY0751 on PC-5337 at January 05, 2010 at 05:13 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{N3W9-H9OH44WC-7665DBMV},2010-01-05 09:02:00,KNW0644,PC-3379,logon,1,9,1,"Logon activity from KNW0644 on PC-3379 at January 05, 2010 at 09:02 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{P2W6-R8XU80YF-7337JLQN},2010-01-05 13:00:06,TNM0961,PC-2030,logon,1,13,1,"Logon activity from TNM0961 on PC-2030 at January 05, 2010 at 01:00 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",normal,LOW
