id,date,user,pc,activity,activity_binary,hour,dayofweek
{L5G2-J6DB45UQ-6549MBBE},2010-01-02 07:58:00,AMW0392,PC-6163,logon,1,7,5
{Y3O8-G3RQ78NY-4956VLZZ},2010-01-02 07:58:29,IKP0472,PC-4124,logoff,0,7,5
{V9Z3-O9WF77ML-5087YNRM},2010-01-02 08:00:33,IRM0931,PC-4124,logon,1,8,5
{P6J9-O9VB08UA-4438WYRG},2010-01-02 08:05:00,HSB0196,PC-8001,logon,1,8,5
{Q0C9-O0SK97VF-2901JTEV},2010-01-02 08:07:00,YIC0195,PC-9353,logon,1,8,5
{W7W1-Z2GJ48AQ-3263DZPJ},2010-01-02 08:13:00,NAH0503,PC-8267,logon,1,8,5
{L1D3-W6HU10XA-9256OPXU},2010-01-02 08:13:00,WPR0368,PC-9842,logon,1,8,5
{R9J0-Y2UO10YB-5176EUWX},2010-01-02 08:15:00,JDC0030,PC-0246,logon,1,8,5
{Q3W2-Z7JN57XZ-9964UHZP},2010-01-02 08:16:18,IRM0931,PC-4124,logoff,0,8,5
{F0D6-A3TY28NV-0761OSGG},2010-01-02 08:18:00,HDD0806,PC-6032,logon,1,8,5
{T5E9-I4LT41MQ-5313JWSE},2010-01-02 08:20:00,AOK0844,PC-4659,logon,1,8,5
{I1S2-K5OX13ST-9590PKMV},2010-01-02 08:20:00,FKK0055,PC-0435,logon,1,8,5
{V7A9-Y7LH41ZJ-2646VDXF},2010-01-02 08:20:00,JHP0583,PC-9083,logon,1,8,5
{Y3V5-Q2UP92TQ-2975NODY},2010-01-02 08:22:00,RAW0915,PC-2113,logon,1,8,5
{H1M6-G2OL25WR-4072DMLM},2010-01-02 08:24:00,SSJ0784,PC-0840,logon,1,8,5
{X3S7-X2XU42NR-2762EEXB},2010-01-02 08:29:00,FOB0756,PC-6204,logon,1,8,5
{O5R3-N0IW89SP-4967IIWF},2010-01-02 08:47:00,CJM0521,PC-6249,logon,1,8,5
{G9T5-P3PL97SZ-3627KMDI},2010-01-02 08:52:00,HLH0512,PC-2288,logon,1,8,5
{D2B5-T7KG62LO-3885YEJY},2010-01-02 08:53:00,BQS0525,PC-0269,logon,1,8,5
{A2A0-L1VB61KD-7527DNFG},2010-01-02 08:54:00,BRB0355,PC-9896,logon,1,8,5
{K3Q0-Z7YW31RE-2309YJPX},2010-01-02 08:54:00,IAR0694,PC-2804,logon,1,8,5
{K9P7-X9NQ10UL-4304PVQD},2010-01-02 08:55:00,SMH0291,PC-3571,logon,1,8,5
{K4R1-D8HW59NT-6976TTAY},2010-01-02 09:00:00,BDI0533,PC-5883,logon,1,9,5
{Y0J2-Z8LN95PN-5467OUOP},2010-01-02 09:01:00,DAR0885,PC-1312,logon,1,9,5
{T8J2-R8BN34GQ-6527KDNR},2010-01-02 09:09:00,ALB0892,PC-2744,logon,1,9,5
{H3B1-S1YW87QV-8953UWJM},2010-01-02 09:55:53,NGF0157,PC-6056,logon,1,9,5
{S6X4-G0XW88OE-8151WGJR},2010-01-02 09:57:42,IKP0472,PC-3842,logon,1,9,5
{L4T8-T9IU13OH-2799XSWU},2010-01-02 11:03:39,RRC0553,PC-6672,logon,1,11,5
{G1G1-I6JC97QS-6708BSTX},2010-01-02 11:21:46,MHH0180,PC-9822,logon,1,11,5
{H4C6-U0UX24LV-8077DDJK},2010-01-02 11:33:09,LRR0148,PC-4275,logon,1,11,5
{B3T0-G3JQ49JT-8866ERJV},2010-01-02 11:48:25,AHC0142,PC-8893,logon,1,11,5
{M5H4-E5NJ35VF-9141ISID},2010-01-02 12:05:32,IRM0931,PC-7188,logon,1,12,5
{D2E3-U0NC42RV-0947RNRZ},2010-01-02 12:18:56,FOB0756,PC-6204,logon,1,12,5
{V0G6-H7UK52DH-4499LQOB},2010-01-02 12:21:44,SSJ0784,PC-0840,logon,1,12,5
{W3J2-Q9AU40KA-1412DSHM},2010-01-02 12:29:57,HAD0246,PC-0926,logon,1,12,5
{I8R9-W0BO34WJ-8577QEHK},2010-01-02 12:32:14,JHP0583,PC-9083,logon,1,12,5
{U9K1-X0QS36TU-8757VUGH},2010-01-02 12:32:57,HDD0806,PC-6032,logon,1,12,5
{T8H4-Q9FD09SQ-9327CYHA},2010-01-02 12:35:36,ATE0869,PC-1313,logon,1,12,5
{Q8Z4-Q7VH55VA-1705KMJE},2010-01-02 12:39:26,NOB0181,PC-3446,logon,1,12,5
{N3J3-F4KM92IM-3476IKHZ},2010-01-02 12:50:51,CTR0341,PC-6184,logon,1,12,5
{Q3H5-A5UB15TA-3431LGCR},2010-01-02 12:58:29,NWK0215,PC-8370,logon,1,12,5
{R2Q8-N2EM95EL-6983VGJM},2010-01-02 12:59:38,BDI0533,PC-5883,logon,1,12,5
{B1Q6-K1BR11XT-2750SEDB},2010-01-02 12:59:52,AMW0392,PC-6163,logon,1,12,5
{H5K4-J2YX40LS-9247ZSPG},2010-01-02 13:15:30,ABC0174,PC-5156,logon,1,13,5
{X4D6-D0KQ14BH-6203LUIS},2010-01-02 13:19:31,BRB0355,PC-9896,logon,1,13,5
{D7E9-L9CN00II-5107RCWQ},2010-01-02 13:23:32,HPH0075,PC-2417,logon,1,13,5
{V8A0-V6HK70PV-4220QEPH},2010-01-02 13:28:33,JDC0030,PC-0246,logon,1,13,5
{B4C2-V4TY58PB-2006VDDQ},2010-01-02 13:33:14,RZC0746,PC-7500,logon,1,13,5
{H6S5-F0PE83CU-4922OELX},2010-01-02 14:03:01,FKK0055,PC-0435,logon,1,14,5
{C0R1-J8TS29QN-8664QKQM},2010-01-02 14:06:20,RAW0915,PC-2113,logon,1,14,5
{V3C6-Y6ML70RT-0816XMXG},2010-01-02 14:06:32,WPR0368,PC-2173,logon,1,14,5
{X1A2-X8KM97SR-4368YURY},2010-01-02 14:08:41,WPR0368,PC-2173,logoff,0,14,5
{L1G4-W7CJ57DC-0759RTXR},2010-01-02 15:46:00,AJR0319,PC-4736,logoff,0,15,5
{X7Q8-N6QT71PY-3031NAWU},2010-01-02 15:47:00,JCR0172,PC-6713,logoff,0,15,5
{W2E1-H9GV66LM-3021KIDD},2010-01-02 15:49:00,HVB0037,PC-7979,logoff,0,15,5
{L5A4-N3DP27EP-5547WUQC},2010-01-02 15:56:00,ABC0174,PC-5156,logoff,0,15,5
{R9Z6-P5EF85AW-0705IGWZ},2010-01-02 15:56:00,NWK0215,PC-8370,logoff,0,15,5
{P4P6-D3TZ77KM-5341VHWU},2010-01-02 16:07:00,ESJ0670,PC-2321,logoff,0,16,5
{F7Z8-Z1IB31VI-6073UNHB},2010-01-02 16:16:00,IRM0931,PC-7188,logoff,0,16,5
{G2D4-P9ZF28XV-2489HWTF},2010-01-02 16:17:00,WPR0368,PC-9842,logoff,0,16,5
{B8N7-I4UV27ZA-0931QKKS},2010-01-02 16:42:00,FOB0756,PC-6204,logoff,0,16,5
{V7N2-A0HL94WE-7298IBBC},2010-01-02 16:45:00,SSJ0784,PC-0840,logoff,0,16,5
{I6C3-X6ED47IX-7641UKQQ},2010-01-02 16:51:00,JKJ0698,PC-1917,logoff,0,16,5
{N6E7-V9WF05SM-0071EXXS},2010-01-02 17:00:00,CJM0521,PC-6249,logoff,0,17,5
{H4S5-X3PE03QM-7228ZIIE},2010-01-02 17:00:00,HAD0246,PC-0926,logoff,0,17,5
{W3A8-N4FV93TG-8293UPHU},2010-01-02 17:03:00,BQS0525,PC-0269,logoff,0,17,5
{I5K6-P4DP67YS-9519XEAM},2010-01-02 17:05:00,BRS0734,PC-4785,logoff,0,17,5
{A3I7-T5FC59LD-3522VDHH},2010-01-02 17:05:00,NGF0157,PC-6056,logoff,0,17,5
{P2H7-E1BC40OC-0606MAIU},2010-01-02 17:06:00,BDI0533,PC-5883,logoff,0,17,5
{L6A2-A4OP66JF-5006ZAEH},2010-01-02 17:06:00,HLH0512,PC-2288,logoff,0,17,5
{U5Y1-X8JD78TA-9168GSEY},2010-01-02 17:07:00,BRB0355,PC-9896,logoff,0,17,5
{R7F4-V8OA36AT-8882AWUY},2010-01-02 17:07:00,LRR0148,PC-4275,logoff,0,17,5
{V4E0-H0DK56UY-8575IEVY},2010-01-02 17:10:00,HPH0075,PC-2417,logoff,0,17,5
{C9A9-S7WB71CL-5124SQHZ},2010-01-02 17:11:00,RZC0746,PC-7500,logoff,0,17,5
{Q1U9-X5DB36OS-7785THBU},2010-01-02 17:13:00,IIW0249,PC-0843,logoff,0,17,5
{T0P2-K8DG47LA-4378PILQ},2010-01-02 17:17:00,MOH0273,PC-6699,logoff,0,17,5
{F5O0-U6JQ60BG-1492ZNUC},2010-01-02 17:19:00,NAH0503,PC-8267,logoff,0,17,5
{Y8O6-M3HM31KJ-8621NKZC},2010-01-02 17:27:00,AHC0142,PC-8893,logoff,0,17,5
{R5E5-T1LH03OZ-1507OSTQ},2010-01-02 17:31:00,FKK0055,PC-0435,logoff,0,17,5
{A6X6-Y9KN96JN-7858MTMF},2010-01-02 18:00:00,ATE0869,PC-1313,logoff,0,18,5
{D1T5-S8MH06IW-5640VHYS},2010-01-02 18:02:00,IKP0472,PC-3842,logoff,0,18,5
{W9W0-V7MF74GY-1051WRYM},2010-01-02 18:03:00,RRC0553,PC-6672,logoff,0,18,5
{Y7Y4-K5BK02HD-4559NPFQ},2010-01-02 18:10:00,JKF0465,PC-6797,logoff,0,18,5
{Q3Y9-O0AE52WL-9104LANY},2010-01-02 18:13:00,SMH0291,PC-3571,logoff,0,18,5
{C6Q4-O6KR90SP-5539CFPC},2010-01-02 18:17:00,NOB0181,PC-3446,logoff,0,18,5
{K1P3-A3HO37YU-4185JBUP},2010-01-02 18:19:00,DAR0885,PC-1312,logoff,0,18,5
{M4W1-X6QL92VZ-6261MJVP},2010-01-02 18:19:00,HSB0196,PC-8001,logoff,0,18,5
{G1B7-H9TQ81ZY-8455XVZG},2010-01-02 18:20:00,MHH0180,PC-9822,logoff,0,18,5
{T0A7-A6NP85KB-7871TLEJ},2010-01-02 18:26:00,ALB0892,PC-2744,logoff,0,18,5
{L8K2-B0HE97FH-3396TWDH},2010-01-02 18:28:00,LAP0338,PC-5758,logoff,0,18,5
{T8E8-Z9FU65SZ-6407BQJX},2010-01-02 18:29:00,CTR0341,PC-6184,logoff,0,18,5
{K7M0-Z8MO33JD-2177WKPW},2010-01-02 18:30:00,YIC0195,PC-9353,logoff,0,18,5
{H2K6-I5QI37HF-7165AZXP},2010-01-02 18:40:00,JHP0583,PC-9083,logoff,0,18,5
{O8A9-R3AT26TO-9784PBNO},2010-01-02 19:00:00,IAR0694,PC-2804,logoff,0,19,5
{E3W3-T7TC80CR-0006LLCN},2010-01-02 19:15:00,AMW0392,PC-6163,logoff,0,19,5
{O0T6-E3DG90UZ-0591GTXN},2010-01-02 19:42:00,AOK0844,PC-4659,logoff,0,19,5
{M8D4-F2TN67UI-9431ZUGT},2010-01-02 19:43:00,JDC0030,PC-0246,logoff,0,19,5
{P3A0-D9GU45TF-5482XIYH},2010-01-02 19:45:00,RAW0915,PC-2113,logoff,0,19,5
{H7M7-Z1YV75MM-2307FTGX},2010-01-02 20:32:00,HDD0806,PC-6032,logoff,0,20,5
{K9L4-L1HS62OX-5868NLCT},2010-01-03 00:56:15,BSS0369,PC-8884,logon,1,0,6
{Q8R9-N8BX35KN-2209CPLO},2010-01-03 01:12:00,BSS0369,PC-8884,logoff,0,1,6
{K7Z1-Z1PY78MD-3656BKEX},2010-01-03 06:50:00,DLM0051,PC-0166,logon,1,6,6
{C2K5-M7NF55GQ-1082NAXU},2010-01-03 07:06:00,CMB0912,PC-6539,logon,1,7,6
{D3R6-Z6OV04MX-2642UHYY},2010-01-03 07:07:00,SBN0971,PC-0151,logon,1,7,6
{A6B1-R0IS63PX-3297RHYS},2010-01-03 07:13:00,LBH0942,PC-3640,logon,1,7,6
{B2X4-Z7MH97RN-1339ZJIA},2010-01-03 07:13:00,MLM0950,PC-9787,logon,1,7,6
{Q7Z2-P3BM15FF-8298FTOR},2010-01-03 07:15:00,CTR0341,PC-6184,logon,1,7,6
{A9K2-U0RU31AH-0492BHBL},2010-01-03 07:17:00,IRM0931,PC-7188,logon,1,7,6
{V4Q6-F6XS44NQ-6588XOYX},2010-01-03 07:24:00,LAP0338,PC-5758,logon,1,7,6
{D4A2-O8EU30LH-3774WAPP},2010-01-03 07:24:00,NOB0181,PC-3446,logon,1,7,6
{D9Z9-O0NO40BG-4626WJDK},2010-01-03 07:33:00,LBF0214,PC-3819,logon,1,7,6
{P5K5-G5NB11RG-5281RBRO},2010-01-03 07:41:00,NAF0326,PC-0384,logon,1,7,6
{B0C6-I1EN96VF-3288QHMX},2010-01-03 07:41:00,QOS0878,PC-2211,logon,1,7,6
{U8E7-T2FU10KK-1555WDOH},2010-01-03 07:45:00,TDS0984,PC-7088,logon,1,7,6
{G8X9-E4QS83AC-6555ENCH},2010-01-03 07:46:00,ATE0869,PC-1313,logon,1,7,6
{R9R5-A6PX65RV-8475TGJW},2010-01-03 07:48:00,RAM0447,PC-2697,logon,1,7,6
{E5F9-E9NG69KV-1943TWID},2010-01-03 07:49:00,JKJ0698,PC-1917,logon,1,7,6
{L5N5-M6PI62TL-0460PUJD},2010-01-03 07:51:00,EHB0420,PC-1586,logon,1,7,6
{I3A2-M8LJ85HH-8650SHLH},2010-01-03 07:52:00,AJR0319,PC-4736,logon,1,7,6
{I3I0-D3IQ74NT-9797XATF},2010-01-03 07:54:00,DRR0242,PC-5002,logon,1,7,6
{C8R7-F8JB81JU-1756JRKR},2010-01-03 07:55:00,NWK0215,PC-8370,logon,1,7,6
{Y3Y8-F7NY72IV-5595WWJL},2010-01-03 07:57:00,HAD0246,PC-0926,logon,1,7,6
{F1Q2-E9ET72HF-0607BLXE},2010-01-03 07:57:00,NGC0058,PC-7558,logon,1,7,6
{O0X9-X6HS10MF-5023OATH},2010-01-03 08:01:00,AMW0392,PC-6163,logon,1,8,6
{V0V9-V5YE46NR-2549RAUE},2010-01-03 08:01:00,ESJ0670,PC-2321,logon,1,8,6
{C6C5-V9VU23QN-5361CKPT},2010-01-03 08:03:00,OBH0499,PC-7989,logon,1,8,6
{Q1M0-F6NS66SI-0256XZOM},2010-01-03 08:04:00,RZC0746,PC-7500,logon,1,8,6
{Z9C8-N2WK32WU-8681VCEE},2010-01-03 08:05:00,IKP0472,PC-3842,logon,1,8,6
{I3T3-F6JV86EH-5143JTBL},2010-01-03 08:05:00,MAD0496,PC-2244,logon,1,8,6
{K5H0-R0VK08NL-8292VKKS},2010-01-03 08:13:00,BSS0369,PC-3672,logon,1,8,6
{O8A8-L1CM67JV-6342SCOM},2010-01-03 08:15:00,AOK0844,PC-4659,logon,1,8,6
{M3V0-Q8ZA46KA-9067PORJ},2010-01-03 08:15:00,MCD0125,PC-7295,logon,1,8,6
{O0F4-O2MW75SV-5347XAPH},2010-01-03 08:15:00,YIC0195,PC-9353,logon,1,8,6
{R0W4-T8QH40RV-7139WUOP},2010-01-03 08:22:00,MCF0600,PC-8790,logon,1,8,6
{R3O1-I2YL17TS-9446VYDV},2010-01-03 08:23:00,HDD0806,PC-6032,logon,1,8,6
{F7J9-M2YJ00UJ-3247NKNL},2010-01-03 08:27:00,JAJ0849,PC-9819,logon,1,8,6
{O6N5-S7KB03QR-2583ESRA},2010-01-03 08:28:00,HSB0196,PC-8001,logon,1,8,6
{C1D7-S4WW31BK-5561GQVR},2010-01-03 08:29:00,PTH0830,PC-8118,logon,1,8,6
{Z4K3-A3IQ99TL-0918GTNJ},2010-01-03 08:30:00,SSJ0784,PC-0840,logon,1,8,6
{Y3Y6-L5VL88RN-1822ZKQG},2010-01-03 08:32:00,JDC0030,PC-0246,logon,1,8,6
{I4W2-H0XY67GS-5339XWDZ},2010-01-03 08:39:00,FKK0055,PC-0435,logon,1,8,6
{I2V1-T1RA68RO-2301MXAT},2010-01-03 08:45:00,SMH0291,PC-3571,logon,1,8,6
{A8V1-Q1LN08NH-1963PZWR},2010-01-03 08:48:00,IIL0513,PC-8067,logon,1,8,6
{W4C5-M4BG72RT-6543EDRV},2010-01-03 08:48:00,WIQ0567,PC-6113,logon,1,8,6
{Z0V3-B2GX18JS-5977MJEA},2010-01-03 08:52:00,MDH0686,PC-9901,logon,1,8,6
{G4N4-N3MJ83YK-6381SEPS},2010-01-03 08:53:00,LDD0560,PC-3683,logon,1,8,6
{M1K7-T0PV34EA-8418UQHI},2010-01-03 09:00:00,BRB0355,PC-9896,logon,1,9,6
{E0M2-R8HF08PK-6969QLYL},2010-01-03 09:01:00,BVC0790,PC-0008,logon,1,9,6
{S9Q6-X3JU21KA-0344EBKU},2010-01-03 09:02:00,BDI0533,PC-5883,logon,1,9,6
{G2T4-Z8VA77OT-8374MTXT},2010-01-03 09:03:00,BQS0525,PC-0269,logon,1,9,6
{K0Y7-Q9YM58XT-6474KBZO},2010-01-03 09:03:00,HLH0512,PC-2288,logon,1,9,6
{Z3L6-D0NB00DV-5298REXZ},2010-01-03 09:09:00,CJM0521,PC-6249,logon,1,9,6
{I5S9-C9EX90ZX-1004KXPL},2010-01-03 09:11:00,NMS0280,PC-8262,logon,1,9,6
{M5E2-X1AG77HS-1094LRFQ},2010-01-03 09:17:00,DAR0885,PC-1312,logon,1,9,6
{J1E0-Z7GU20VP-4187IKBU},2010-01-03 09:26:00,ALB0892,PC-2744,logon,1,9,6
{F2L0-F8HZ72ZG-1245LLKZ},2010-01-03 10:54:20,MLM0950,PC-9787,logon,1,10,6
{Q7C5-R2LD52BQ-9724VJMI},2010-01-03 10:59:47,LAP0338,PC-5758,logon,1,10,6
{G5J6-B1RJ22XO-8325DOTO},2010-01-03 11:07:22,NOB0181,PC-3446,logon,1,11,6
{M9Q2-C1RA57BX-9082LWNB},2010-01-03 11:20:23,MCD0125,PC-7295,logon,1,11,6
{R7F2-U9RI82CG-7487JRXL},2010-01-03 11:36:19,NWK0215,PC-8370,logon,1,11,6
{C7B3-O7XW86VI-4266BOWC},2010-01-03 11:39:44,JDC0030,PC-0246,logon,1,11,6
{T9W1-H5WF75OS-1953BPFB},2010-01-03 11:44:16,ATE0869,PC-1313,logon,1,11,6
{Y0S2-C1SL53QE-2221WVSF},2010-01-03 11:46:12,WIQ0567,PC-6113,logon,1,11,6
{N0X1-I9XN38NK-6040GQPJ},2010-01-03 11:51:51,IRM0931,PC-7188,logon,1,11,6
{D4T6-A4JR20OX-2156XHCY},2010-01-03 11:59:10,CTR0341,PC-6184,logon,1,11,6
{T6E4-L0BO60EN-7704KDOH},2010-01-03 12:03:50,LBH0942,PC-3640,logon,1,12,6
{Q5Z5-E2WE46LF-6158CAJR},2010-01-03 12:05:12,CMB0912,PC-6539,logon,1,12,6
{F5U7-R5TJ43UD-7413AMZK},2010-01-03 12:10:24,SMH0291,PC-3571,logon,1,12,6
{J6X6-E1GS73RC-2999GZWX},2010-01-03 12:14:29,HAD0246,PC-0926,logon,1,12,6
{A8N2-F2QC30ST-0137JQWI},2010-01-03 12:24:18,OBH0499,PC-7989,logon,1,12,6
{T3P5-X7LC39CV-2504IQKU},2010-01-03 12:28:47,RZC0746,PC-7500,logon,1,12,6
{N3J8-D4PV69RN-1452YJPW},2010-01-03 12:34:09,QOS0878,PC-2211,logon,1,12,6
{H8W9-M2OR40IU-4217PLMF},2010-01-03 12:34:46,AJR0319,PC-4736,logon,1,12,6
{M6B2-N4LD22QM-7643VVJN},2010-01-03 12:44:57,NAF0326,PC-0384,logon,1,12,6
{X9N4-X4AA66HF-8590AKID},2010-01-03 13:02:56,JAJ0849,PC-9819,logon,1,13,6
{K1P8-L3YP30NI-5676HUPA},2010-01-03 13:11:28,AMW0392,PC-6163,logon,1,13,6
{X7X0-B4RE28VV-3985DVBB},2010-01-03 13:25:16,FKK0055,PC-0435,logon,1,13,6
{I8I9-R2SC36CJ-9408IAEN},2010-01-03 13:29:58,HDD0806,PC-6032,logon,1,13,6
{O2K4-N4IU97QJ-0444BRPS},2010-01-03 13:35:16,SSJ0784,PC-0840,logon,1,13,6
{N0I3-N8KG05VM-0067GUSZ},2010-01-03 13:35:50,TDS0984,PC-7088,logon,1,13,6
{N4O1-T6CN33NV-5722DUUZ},2010-01-03 13:44:12,BVC0790,PC-0008,logon,1,13,6
{E3Z9-M3YB10PQ-7531BKWE},2010-01-03 13:51:36,YIC0195,PC-9353,logon,1,13,6
{P4S5-K7HG31MC-9986VYCF},2010-01-03 13:54:45,AOK0844,PC-4659,logon,1,13,6
{R6B9-I1DR48SH-3199PJGJ},2010-01-03 13:55:13,LBF0214,PC-4124,logon,1,13,6
{Q2J4-M7NT51UE-3928FSBO},2010-01-03 13:57:34,BDI0533,PC-5883,logon,1,13,6
{Q7I9-P2BM68VP-3721NCJJ},2010-01-03 14:03:53,IKP0472,PC-3842,logon,1,14,6
{N7M6-S4GI64KR-3766MDSF},2010-01-03 14:37:44,LBF0214,PC-4124,logoff,0,14,6
{I9Z1-L6UD10ZG-2487IKEN},2010-01-03 14:48:13,BRB0355,PC-9896,logon,1,14,6
{U9E3-S0LL66MK-0592TVBR},2010-01-03 15:37:00,AJR0319,PC-4736,logoff,0,15,6
{F2S0-H2AO22GF-2234TYZE},2010-01-03 15:42:00,NWK0215,PC-8370,logoff,0,15,6
{D9C9-E3DL92ZE-8282NENC},2010-01-03 15:56:00,NAF0326,PC-0384,logoff,0,15,6
{T4R9-Y9AD68MX-4390SPJE},2010-01-03 15:57:00,LBF0214,PC-3819,logoff,0,15,6
{Z2M6-S2YV00ZX-9527BQMS},2010-01-03 15:59:00,ESJ0670,PC-2321,logoff,0,15,6
{W2Y6-G2MX69SM-3907GMDL},2010-01-03 16:01:00,DLM0051,PC-0166,logoff,0,16,6
{V4S1-U8AK80JP-5103YFJD},2010-01-03 16:14:00,IRM0931,PC-7188,logoff,0,16,6
{X4D7-Q5BA21NN-8864OCXE},2010-01-03 16:17:00,MLM0950,PC-9787,logoff,0,16,6
{J5P6-C3AQ56GM-2547HKEW},2010-01-03 16:21:34,EHB0420,PC-4124,logon,1,16,6
{N6E1-L3BG98NP-0158PKZA},2010-01-03 16:24:00,LBH0942,PC-3640,logoff,0,16,6
{N9G5-U0LY50QS-8179PNTH},2010-01-03 16:29:00,CMB0912,PC-6539,logoff,0,16,6
{J3K9-C0VU32VG-9117MJTK},2010-01-03 16:30:00,BSS0369,PC-3672,logoff,0,16,6
{H8Y0-U8AD09AT-0373HFSJ},2010-01-03 16:30:00,SBN0971,PC-0151,logoff,0,16,6
{D1C9-U9TB78RT-1318DAYG},2010-01-03 16:31:00,SSJ0784,PC-0840,logoff,0,16,6
{K5O6-U9AI71FO-5050TLVZ},2010-01-03 16:41:00,JKJ0698,PC-1917,logoff,0,16,6
{A6H2-P4OP83YU-9613BGGX},2010-01-03 16:54:00,CJM0521,PC-6249,logoff,0,16,6
{R8U4-O8JR90VE-2442ZHXK},2010-01-03 16:55:00,BDI0533,PC-5883,logoff,0,16,6
{U8N8-V0BC44RT-8226MABK},2010-01-03 16:57:00,BQS0525,PC-0269,logoff,0,16,6
{Y3C2-I3JJ60HD-7808QMFH},2010-01-03 16:58:00,HLH0512,PC-2288,logoff,0,16,6
{K7E9-U4AO87CZ-2315JNWI},2010-01-03 16:58:00,RZC0746,PC-7500,logoff,0,16,6
{B8M4-J8SS92PX-2660CFWM},2010-01-03 16:59:00,BRB0355,PC-9896,logoff,0,16,6
{N7X0-B7TR36HA-1667GGEC},2010-01-03 16:59:00,HAD0246,PC-0926,logoff,0,16,6
{P3F5-W9FP08DX-5273MNDD},2010-01-03 17:04:00,IIL0513,PC-8067,logoff,0,17,6
{A4R6-X5DR90UL-9295EFVZ},2010-01-03 17:16:07,EHB0420,PC-4124,logoff,0,17,6
{J0X8-S1XQ68WE-1944PYEQ},2010-01-03 17:20:00,MAD0496,PC-2244,logoff,0,17,6
{Q0P0-K1FA42XV-7980DPWW},2010-01-03 17:28:00,OBH0499,PC-7989,logoff,0,17,6
{H1M0-P3PC11PH-6746OGVK},2010-01-03 17:29:00,FKK0055,PC-0435,logoff,0,17,6
{U3K0-T5DX92OU-9359GZYL},2010-01-03 17:38:00,ATE0869,PC-1313,logoff,0,17,6
{J9T8-A2AB62MF-1136VSBW},2010-01-03 17:45:00,QOS0878,PC-2211,logoff,0,17,6
{X2O8-U6XV52LQ-5902LTCG},2010-01-03 17:51:00,TDS0984,PC-7088,logoff,0,17,6
