id,date,user,pc,activity,hour,dayofweek,activity_binary,text,predicted_label,risk_level
{M3V8-R9EV25AJ-6967RWCL},2010-01-05 16:12:38,BRB0355,PC-9896,Disconnect,16,1,0,"Device activity from BRB0355 on PC-9896 at January 05, 2010 at 04:12 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 16.",uncertain,LOW
{N3V8-X5HI38XU-4969GZAZ},2010-01-03 14:57:50,HSB0196,PC-8001,Connect,14,6,1,"Device activity from HSB0196 on PC-8001 at January 03, 2010 at 02:57 PM. Activity: Connect (Binary: 1). Occurred on Sat at hour 14.",uncertain,HIGH
{F0Z8-P7SU19XZ-8588BFZN},2010-01-04 13:20:26,MDM0625,PC-4984,Connect,13,0,1,"Device activity from MDM0625 on PC-4984 at January 04, 2010 at 01:20 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 13.",uncertain,MEDIUM
{X6W0-D8WB42IG-6303ZWAR},2010-01-04 12:27:06,MPM0220,PC-2344,Disconnect,12,0,0,"Device activity from MPM0220 on PC-2344 at January 04, 2010 at 12:27 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 12.",uncertain,LOW
{O1I6-R4BU43TW-7718RKNG},2010-01-06 10:40:47,IBB0359,PC-4195,Connect,10,2,1,"Device activity from IBB0359 on PC-4195 at January 06, 2010 at 10:40 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 10.",uncertain,MEDIUM
{Y3E9-Y6AH20WM-9872RWON},2010-01-06 15:00:02,LBH0942,PC-3640,Disconnect,15,2,0,"Device activity from LBH0942 on PC-3640 at January 06, 2010 at 03:00 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{Q4U8-L4EP75MD-5580NQAA},2010-01-04 14:37:01,BMG0917,PC-6688,Connect,14,0,1,"Device activity from BMG0917 on PC-6688 at January 04, 2010 at 02:37 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{R6Z3-H2PB18BN-2345VBOF},2010-01-06 13:27:59,DPM0423,PC-2567,Connect,13,2,1,"Device activity from DPM0423 on PC-2567 at January 06, 2010 at 01:27 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 13.",uncertain,MEDIUM
{O3Q1-E0VO58GX-6460SJIC},2010-01-05 10:03:42,NGF0157,PC-6056,Disconnect,10,1,0,"Device activity from NGF0157 on PC-6056 at January 05, 2010 at 10:03 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 10.",uncertain,LOW
{U0S4-F5EK89EH-7415IAKZ},2010-01-04 14:40:02,JDB0169,PC-7502,Disconnect,14,0,0,"Device activity from JDB0169 on PC-7502 at January 04, 2010 at 02:40 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 14.",uncertain,LOW
{Y7C6-L2UH54QH-1455YPLI},2010-01-04 13:27:32,KRL0501,PC-7206,Disconnect,13,0,0,"Device activity from KRL0501 on PC-7206 at January 04, 2010 at 01:27 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 13.",uncertain,LOW
{G9J8-F0WH23YU-9351OOIA},2010-01-06 10:51:09,BSS0369,PC-3672,Disconnect,10,2,0,"Device activity from BSS0369 on PC-3672 at January 06, 2010 at 10:51 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 10.",uncertain,LOW
{T6I6-P6KM06GL-9550WJWK},2010-01-04 14:51:52,NDM0417,PC-9134,Connect,14,0,1,"Device activity from NDM0417 on PC-9134 at January 04, 2010 at 02:51 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{Z7A1-C6YR34QR-5052XUDO},2010-01-04 11:13:30,JDB0169,PC-7502,Connect,11,0,1,"Device activity from JDB0169 on PC-7502 at January 04, 2010 at 11:13 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 11.",uncertain,MEDIUM
{I3I4-Y1EZ11QU-3027HXWD},2010-01-07 14:36:31,JBD0616,PC-1479,Connect,14,3,1,"Device activity from JBD0616 on PC-1479 at January 07, 2010 at 02:36 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 14.",uncertain,MEDIUM
{Z4W4-J9EU39CI-6207WFRH},2010-01-04 09:50:50,BJP0134,PC-0898,Connect,9,0,1,"Device activity from BJP0134 on PC-0898 at January 04, 2010 at 09:50 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 9.",uncertain,MEDIUM
{C2Y8-C1HG91OZ-1564EGFJ},2010-01-07 09:09:54,CTA0020,PC-3118,Disconnect,9,3,0,"Device activity from CTA0020 on PC-3118 at January 07, 2010 at 09:09 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 9.",uncertain,LOW
{W9P1-S5MT08NU-1674ISKX},2010-01-04 08:23:12,AJN0607,PC-8303,Disconnect,8,0,0,"Device activity from AJN0607 on PC-8303 at January 04, 2010 at 08:23 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 8.",uncertain,LOW
{E8Z1-O9OQ89SK-8123XNLL},2010-01-07 14:03:46,AJF0370,PC-8651,Connect,14,3,1,"Device activity from AJF0370 on PC-8651 at January 07, 2010 at 02:03 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 14.",uncertain,MEDIUM
{B0C1-K8CV55QT-5293SUXB},2010-01-04 09:40:15,HDH0928,PC-0252,Connect,9,0,1,"Device activity from HDH0928 on PC-0252 at January 04, 2010 at 09:40 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 9.",uncertain,MEDIUM
{P0R8-S0KB62MZ-9384JQIA},2010-01-05 11:57:45,VTT0385,PC-5027,Disconnect,11,1,0,"Device activity from VTT0385 on PC-5027 at January 05, 2010 at 11:57 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 11.",uncertain,LOW
{B1M0-W1AF73WH-9152BWSD},2010-01-04 08:57:15,JDF0593,PC-6301,Connect,8,0,1,"Device activity from JDF0593 on PC-6301 at January 04, 2010 at 08:57 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 8.",uncertain,MEDIUM
{C7M3-U8VI05CT-4437IIUP},2010-01-07 15:07:06,HAH0760,PC-1038,Disconnect,15,3,0,"Device activity from HAH0760 on PC-1038 at January 07, 2010 at 03:07 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{M0U1-B5UT41HX-6200IPRZ},2010-01-07 15:18:15,WIF0691,PC-6390,Disconnect,15,3,0,"Device activity from WIF0691 on PC-6390 at January 07, 2010 at 03:18 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{I4P3-Z9FM55DE-3957GKSV},2010-01-05 10:05:38,EGD0132,PC-4211,Disconnect,10,1,0,"Device activity from EGD0132 on PC-4211 at January 05, 2010 at 10:05 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 10.",uncertain,LOW
{L0I8-M6WC32EX-5259JJTS},2010-01-05 16:45:59,GHH0288,PC-4686,Connect,16,1,1,"Device activity from GHH0288 on PC-4686 at January 05, 2010 at 04:45 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 16.",uncertain,MEDIUM
{X3V6-M0XS93KT-1756NTIS},2010-01-06 15:19:08,AVM0947,PC-0285,Disconnect,15,2,0,"Device activity from AVM0947 on PC-0285 at January 06, 2010 at 03:19 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{T7O3-D0UO89CE-8481ZLDI},2010-01-07 10:32:27,NAF0326,PC-0384,Connect,10,3,1,"Device activity from NAF0326 on PC-0384 at January 07, 2010 at 10:32 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 10.",uncertain,MEDIUM
{M6R5-Z6WW02PB-7762QNSH},2010-01-07 16:05:09,IIW0249,PC-0843,Disconnect,16,3,0,"Device activity from IIW0249 on PC-0843 at January 07, 2010 at 04:05 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 16.",uncertain,LOW
{U6L3-D4GE23RQ-0174VZTH},2010-01-05 13:26:13,MOS0047,PC-9901,Disconnect,13,1,0,"Device activity from MOS0047 on PC-9901 at January 05, 2010 at 01:26 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 13.",uncertain,LOW
{L7G0-Y0XO14TW-9075EQJT},2010-01-06 15:23:08,HXL0968,PC-0623,Connect,15,2,1,"Device activity from HXL0968 on PC-0623 at January 06, 2010 at 03:23 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 15.",uncertain,MEDIUM
{M3J4-X2XO72UA-9490ZTDS},2010-01-07 09:24:42,HMM0108,PC-8052,Connect,9,3,1,"Device activity from HMM0108 on PC-8052 at January 07, 2010 at 09:24 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 9.",normal,LOW
{F0T6-M0KH37UX-0537QIVN},2010-01-02 09:53:10,HPH0075,PC-2417,Disconnect,9,5,0,"Device activity from HPH0075 on PC-2417 at January 02, 2010 at 09:53 AM. Activity: Disconnect (Binary: 0). Occurred on Fri at hour 9.",uncertain,MEDIUM
{X9F8-G6AZ21VV-0429WPGM},2010-01-02 13:52:07,HSB0196,PC-8001,Connect,13,5,1,"Device activity from HSB0196 on PC-8001 at January 02, 2010 at 01:52 PM. Activity: Connect (Binary: 1). Occurred on Fri at hour 13.",uncertain,HIGH
{X5Z9-X9NY51HU-0853FSUN},2010-01-04 12:49:34,LRR0148,PC-4275,Connect,12,0,1,"Device activity from LRR0148 on PC-4275 at January 04, 2010 at 12:49 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 12.",uncertain,MEDIUM
{W5B6-G9GD68JX-5895JJKH},2010-01-06 22:54:41,AJF0370,PC-6610,Disconnect,22,2,0,"Device activity from AJF0370 on PC-6610 at January 06, 2010 at 10:54 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 22.",uncertain,LOW
{O4R2-D8MI11SS-7392OTFH},2010-01-06 16:59:44,BJP0134,PC-0898,Connect,16,2,1,"Device activity from BJP0134 on PC-0898 at January 06, 2010 at 04:59 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 16.",uncertain,MEDIUM
{W6H1-J9IS13MT-5068YHKB},2010-01-07 13:41:53,HSB0196,PC-8001,Disconnect,13,3,0,"Device activity from HSB0196 on PC-8001 at January 07, 2010 at 01:41 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 13.",uncertain,LOW
{H5G2-D1WN83TY-9982JWJD},2010-01-06 11:44:54,CLB0774,PC-7029,Disconnect,11,2,0,"Device activity from CLB0774 on PC-7029 at January 06, 2010 at 11:44 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 11.",uncertain,LOW
{W5N0-J6HF79GG-3030VDOE},2010-01-05 21:14:42,AJF0370,PC-2775,Disconnect,21,1,0,"Device activity from AJF0370 on PC-2775 at January 05, 2010 at 09:14 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 21.",uncertain,LOW
{Y5B0-D7WS01PL-8410JQVI},2010-01-07 13:30:46,RUM0880,PC-8592,Connect,13,3,1,"Device activity from RUM0880 on PC-8592 at January 07, 2010 at 01:30 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 13.",uncertain,MEDIUM
{J5H4-C3SO92OG-4662JIXZ},2010-01-07 13:38:36,OBH0499,PC-7989,Connect,13,3,1,"Device activity from OBH0499 on PC-7989 at January 07, 2010 at 01:38 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 13.",uncertain,MEDIUM
{O1X6-G7AA13TS-4858UWRS},2010-01-05 16:03:49,QOS0878,PC-2211,Connect,16,1,1,"Device activity from QOS0878 on PC-2211 at January 05, 2010 at 04:03 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 16.",uncertain,MEDIUM
{V9A6-C5DH14VG-7267QBYC},2010-01-06 09:15:37,LCB0664,PC-3196,Connect,9,2,1,"Device activity from LCB0664 on PC-3196 at January 06, 2010 at 09:15 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 9.",uncertain,MEDIUM
{M6Z6-J1QO36KW-9063TYNI},2010-01-04 15:02:57,IKR0401,PC-6741,Connect,15,0,1,"Device activity from IKR0401 on PC-6741 at January 04, 2010 at 03:02 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 15.",uncertain,MEDIUM
{Q3P7-U6ZU04EK-6010BJLB},2010-01-06 11:04:22,GTD0219,PC-6425,Connect,11,2,1,"Device activity from GTD0219 on PC-6425 at January 06, 2010 at 11:04 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 11.",uncertain,MEDIUM
{U4B7-G1DN99VH-3661WRHB},2010-01-04 14:44:42,CEJ0109,PC-6980,Disconnect,14,0,0,"Device activity from CEJ0109 on PC-6980 at January 04, 2010 at 02:44 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 14.",uncertain,LOW
{A0L1-Y6VI75UW-3278DZJL},2010-01-03 11:23:28,BSS0369,PC-3672,Disconnect,11,6,0,"Device activity from BSS0369 on PC-3672 at January 03, 2010 at 11:23 AM. Activity: Disconnect (Binary: 0). Occurred on Sat at hour 11.",uncertain,MEDIUM
{H5Y7-R6LZ30FQ-8977YDZI},2010-01-05 09:28:01,BJP0134,PC-0898,Disconnect,9,1,0,"Device activity from BJP0134 on PC-0898 at January 05, 2010 at 09:28 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 9.",uncertain,LOW
{X5V5-U1QW80ME-8157WJJQ},2010-01-05 17:26:58,BJM0111,PC-6866,Disconnect,17,1,0,"Device activity from BJM0111 on PC-6866 at January 05, 2010 at 05:26 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 17.",uncertain,LOW
{U8X6-R7DA20DG-8042AVKS},2010-01-05 15:32:00,MDM0625,PC-4984,Connect,15,1,1,"Device activity from MDM0625 on PC-4984 at January 05, 2010 at 03:32 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 15.",uncertain,MEDIUM
{E9Y8-G1RE05UQ-9575EMCE},2010-01-07 11:13:34,AJF0370,PC-8651,Connect,11,3,1,"Device activity from AJF0370 on PC-8651 at January 07, 2010 at 11:13 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 11.",uncertain,MEDIUM
{F1V9-R6MI92SE-8853BUCK},2010-01-07 10:07:06,SAA0999,PC-4559,Disconnect,10,3,0,"Device activity from SAA0999 on PC-4559 at January 07, 2010 at 10:07 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 10.",uncertain,LOW
{R4I5-L2JC66PX-2545BHKH},2010-01-06 18:25:56,HRL0540,PC-1117,Disconnect,18,2,0,"Device activity from HRL0540 on PC-1117 at January 06, 2010 at 06:25 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 18.",uncertain,LOW
{J3R3-W0NN51HK-0256NDFA},2010-01-02 09:45:49,JCR0172,PC-6713,Connect,9,5,1,"Device activity from JCR0172 on PC-6713 at January 02, 2010 at 09:45 AM. Activity: Connect (Binary: 1). Occurred on Fri at hour 9.",uncertain,HIGH
{E4M6-Z3ME08ZY-2601TASK},2010-01-05 18:42:55,BRM0995,PC-0768,Disconnect,18,1,0,"Device activity from BRM0995 on PC-0768 at January 05, 2010 at 06:42 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 18.",uncertain,LOW
{C3W3-Z8XD52GE-3352JNON},2010-01-06 13:22:57,DLM0051,PC-0166,Disconnect,13,2,0,"Device activity from DLM0051 on PC-0166 at January 06, 2010 at 01:22 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 13.",uncertain,LOW
{T4R0-D3HO07FK-3149FTTK},2010-01-05 14:23:41,BBG0325,PC-6609,Connect,14,1,1,"Device activity from BBG0325 on PC-6609 at January 05, 2010 at 02:23 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 14.",uncertain,MEDIUM
{V7D5-Z2TD04FI-1363UTQJ},2010-01-06 16:00:22,CLB0774,PC-7029,Connect,16,2,1,"Device activity from CLB0774 on PC-7029 at January 06, 2010 at 04:00 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 16.",uncertain,MEDIUM
{S1S9-S5QX54QV-9959NBTK},2010-01-07 14:22:46,BMG0917,PC-6688,Disconnect,14,3,0,"Device activity from BMG0917 on PC-6688 at January 07, 2010 at 02:22 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 14.",uncertain,LOW
{O4A9-Z7DB16HS-4068DIPF},2010-01-05 11:17:34,ILJ0526,PC-7275,Disconnect,11,1,0,"Device activity from ILJ0526 on PC-7275 at January 05, 2010 at 11:17 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 11.",uncertain,LOW
{Q5H2-A3MA56MH-9529LDAW},2010-01-02 15:25:09,HPH0075,PC-2417,Connect,15,5,1,"Device activity from HPH0075 on PC-2417 at January 02, 2010 at 03:25 PM. Activity: Connect (Binary: 1). Occurred on Fri at hour 15.",uncertain,HIGH
{Z7H8-B6TD58FD-5683OBOY},2010-01-03 14:53:57,BSS0369,PC-3672,Disconnect,14,6,0,"Device activity from BSS0369 on PC-3672 at January 03, 2010 at 02:53 PM. Activity: Disconnect (Binary: 0). Occurred on Sat at hour 14.",uncertain,MEDIUM
{F5V2-P5VC12JH-6465ZXRL},2010-01-04 07:31:56,LBH0942,PC-3640,Disconnect,7,0,0,"Device activity from LBH0942 on PC-3640 at January 04, 2010 at 07:31 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 7.",uncertain,LOW
{H5R0-S6OK08TB-3418LSER},2010-01-04 14:05:54,BQS0525,PC-0269,Connect,14,0,1,"Device activity from BQS0525 on PC-0269 at January 04, 2010 at 02:05 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{V4F8-T6MR10YJ-3950XVQS},2010-01-05 13:45:23,ZKS0899,PC-8517,Disconnect,13,1,0,"Device activity from ZKS0899 on PC-8517 at January 05, 2010 at 01:45 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 13.",uncertain,LOW
{U0L3-N9OI80KN-3667BUYG},2010-01-04 11:46:11,WXH0872,PC-9460,Connect,11,0,1,"Device activity from WXH0872 on PC-9460 at January 04, 2010 at 11:46 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 11.",uncertain,MEDIUM
{G9D7-Q8RH35UG-1633WXZR},2010-01-06 08:55:28,LCB0664,PC-3196,Connect,8,2,1,"Device activity from LCB0664 on PC-3196 at January 06, 2010 at 08:55 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 8.",uncertain,MEDIUM
{S3Z5-U3SI94ZQ-0168DPEA},2010-01-05 16:57:04,JNJ0556,PC-0576,Disconnect,16,1,0,"Device activity from JNJ0556 on PC-0576 at January 05, 2010 at 04:57 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 16.",uncertain,LOW
{I2O9-J9GW50WS-6954TGDT},2010-01-06 16:44:28,HRL0540,PC-1117,Connect,16,2,1,"Device activity from HRL0540 on PC-1117 at January 06, 2010 at 04:44 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 16.",uncertain,MEDIUM
{S8G6-Y5MS06KL-2858TNLZ},2010-01-06 13:10:48,MPM0220,PC-1313,Connect,13,2,1,"Device activity from MPM0220 on PC-1313 at January 06, 2010 at 01:10 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 13.",uncertain,MEDIUM
{J6Q3-K8VM06NJ-2003WGLA},2010-01-06 11:55:19,WIF0691,PC-6390,Connect,11,2,1,"Device activity from WIF0691 on PC-6390 at January 06, 2010 at 11:55 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 11.",uncertain,MEDIUM
{D6X2-D2BB95AH-9186RDQM},2010-01-07 09:40:06,DBB0384,PC-4243,Disconnect,9,3,0,"Device activity from DBB0384 on PC-4243 at January 07, 2010 at 09:40 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 9.",uncertain,LOW
{O0Z8-S9HE49YS-3415JFVV},2010-01-05 09:05:39,MLL0598,PC-0189,Disconnect,9,1,0,"Device activity from MLL0598 on PC-0189 at January 05, 2010 at 09:05 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 9.",uncertain,LOW
{G2U4-Z2JC36XE-4178UOUD},2010-01-06 10:40:59,GKO0078,PC-4233,Connect,10,2,1,"Device activity from GKO0078 on PC-4233 at January 06, 2010 at 10:40 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 10.",uncertain,MEDIUM
{Q7U8-F5JG37PV-0415UNNS},2010-01-04 18:46:37,RAW0915,PC-2113,Connect,18,0,1,"Device activity from RAW0915 on PC-2113 at January 04, 2010 at 06:46 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 18.",uncertain,MEDIUM
{M5Y4-K5KU56HI-3542KGCP},2010-01-04 12:08:17,HSB0196,PC-8001,Connect,12,0,1,"Device activity from HSB0196 on PC-8001 at January 04, 2010 at 12:08 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 12.",uncertain,MEDIUM
{F8Y2-V5AR46UX-3750IYIA},2010-01-04 11:20:11,CTA0020,PC-3118,Connect,11,0,1,"Device activity from CTA0020 on PC-3118 at January 04, 2010 at 11:20 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 11.",uncertain,MEDIUM
{Q0J9-J7EC52PZ-7807RFKH},2010-01-07 14:49:00,OCS0865,PC-8309,Connect,14,3,1,"Device activity from OCS0865 on PC-8309 at January 07, 2010 at 02:49 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 14.",uncertain,MEDIUM
{U3F7-Y5GL03IY-3045ICDI},2010-01-06 17:55:32,BMG0917,PC-6688,Disconnect,17,2,0,"Device activity from BMG0917 on PC-6688 at January 06, 2010 at 05:55 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 17.",uncertain,LOW
{N5H4-N3KH63RX-7381OEPZ},2010-01-07 09:32:02,DBB0384,PC-4243,Disconnect,9,3,0,"Device activity from DBB0384 on PC-4243 at January 07, 2010 at 09:32 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 9.",uncertain,LOW
{R3P7-F8HL24MR-8129WXRC},2010-01-04 09:31:36,UAD0771,PC-2499,Connect,9,0,1,"Device activity from UAD0771 on PC-2499 at January 04, 2010 at 09:31 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 9.",uncertain,MEDIUM
{G8B4-Y0KI82BJ-7812KWHS},2010-01-03 10:59:39,HSB0196,PC-8001,Disconnect,10,6,0,"Device activity from HSB0196 on PC-8001 at January 03, 2010 at 10:59 AM. Activity: Disconnect (Binary: 0). Occurred on Sat at hour 10.",uncertain,MEDIUM
{Q2L4-F7IH04WY-9473FTFJ},2010-01-04 16:09:28,JBD0616,PC-1479,Connect,16,0,1,"Device activity from JBD0616 on PC-1479 at January 04, 2010 at 04:09 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 16.",uncertain,MEDIUM
{X7W4-K4YR89YD-2516EFVF},2010-01-04 09:50:20,LBH0942,PC-3640,Connect,9,0,1,"Device activity from LBH0942 on PC-3640 at January 04, 2010 at 09:50 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 9.",uncertain,MEDIUM
{N2H4-Z3EL00UK-6651VGSW},2010-01-07 14:29:05,MLL0598,PC-0189,Connect,14,3,1,"Device activity from MLL0598 on PC-0189 at January 07, 2010 at 02:29 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 14.",uncertain,MEDIUM
{H3R4-X3FL34PI-0506IDYD},2010-01-06 09:59:13,JBD0616,PC-1479,Connect,9,2,1,"Device activity from JBD0616 on PC-1479 at January 06, 2010 at 09:59 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 9.",uncertain,MEDIUM
{Y7I9-N4XE39NV-9056NNTZ},2010-01-06 14:23:42,LBH0942,PC-3640,Connect,14,2,1,"Device activity from LBH0942 on PC-3640 at January 06, 2010 at 02:23 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 14.",uncertain,MEDIUM
{Y2M3-T4VQ45MP-7735IAAW},2010-01-04 08:45:25,VIA0063,PC-2684,Disconnect,8,0,0,"Device activity from VIA0063 on PC-2684 at January 04, 2010 at 08:45 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 8.",uncertain,LOW
{H9M7-P6WU99JW-7835GZRW},2010-01-02 14:54:47,HPH0075,PC-2417,Disconnect,14,5,0,"Device activity from HPH0075 on PC-2417 at January 02, 2010 at 02:54 PM. Activity: Disconnect (Binary: 0). Occurred on Fri at hour 14.",uncertain,MEDIUM
{D9S7-C2VT11JC-6745YFLM},2010-01-05 08:39:26,BSS0369,PC-3672,Connect,8,1,1,"Device activity from BSS0369 on PC-3672 at January 05, 2010 at 08:39 AM. Activity: Connect (Binary: 1). Occurred on Mon at hour 8.",uncertain,MEDIUM
{W2U9-Z2HV93KZ-6606VDKB},2010-01-05 09:27:49,DMK0257,PC-1279,Disconnect,9,1,0,"Device activity from DMK0257 on PC-1279 at January 05, 2010 at 09:27 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 9.",uncertain,LOW
