id,date,user,pc,activity,text,predicted_label,risk_level
{S9A9-O9ET92GT-5933VSWZ},1/4/2010 10:56,DTAA/HBL0517,PC-1343,Disconnect,"User DTAA/HBL0517 disconnect PC-1343 on April 01, 2010 at 10:56 AM. Session ID: {S9A9-O9ET92GT-5933VSWZ}",normal,MEDIUM
{O3H9-P9AG29PU-1775YSXJ},1/4/2010 10:57,DTAA/RBC0879,PC-1261,Connect,"User DTAA/RBC0879 connect PC-1261 on April 01, 2010 at 10:57 AM. Session ID: {O3H9-P9AG29PU-1775YSXJ}",normal,LOW
{K9N2-Q2OH86NM-9088NJDK},1/4/2010 11:00,DTAA/AFN0918,PC-3425,Connect,"User DTAA/AFN0918 connect PC-3425 on April 01, 2010 at 11:00 AM. Session ID: {K9N2-Q2OH86NM-9088NJDK}",normal,LOW
{I1V2-O7KB65VH-2027ZGLT},1/4/2010 11:02,DTAA/AZC0030,PC-4724,Connect,"User DTAA/AZC0030 connect PC-4724 on April 01, 2010 at 11:02 AM. Session ID: {I1V2-O7KB65VH-2027ZGLT}",normal,LOW
{B9U9-V9QF50KQ-5765DWBW},1/4/2010 11:03,DTAA/SCW0707,PC-1217,Connect,"User DTAA/SCW0707 connect PC-1217 on April 01, 2010 at 11:03 AM. Session ID: {B9U9-V9QF50KQ-5765DWBW}",normal,LOW
{U0E7-E0SZ93LD-8215JHEE},1/4/2010 11:05,DTAA/GNH0394,PC-2161,Disconnect,"User DTAA/GNH0394 disconnect PC-2161 on April 01, 2010 at 11:05 AM. Session ID: {U0E7-E0SZ93LD-8215JHEE}",normal,MEDIUM
{A9Z3-X2ZT77RA-1517QBMP},1/4/2010 11:12,DTAA/MQL0135,PC-4656,Disconnect,"User DTAA/MQL0135 disconnect PC-4656 on April 01, 2010 at 11:12 AM. Session ID: {A9Z3-X2ZT77RA-1517QBMP}",normal,MEDIUM
{Y7B7-J6GU90YB-2936YMII},1/4/2010 11:13,DTAA/AFR0646,PC-0323,Connect,"User DTAA/AFR0646 connect PC-0323 on April 01, 2010 at 11:13 AM. Session ID: {Y7B7-J6GU90YB-2936YMII}",normal,LOW
{Y8O8-P1RA06MR-0066EEJZ},1/4/2010 11:15,DTAA/VFP0669,PC-1717,Connect,"User DTAA/VFP0669 connect PC-1717 on April 01, 2010 at 11:15 AM. Session ID: {Y8O8-P1RA06MR-0066EEJZ}",normal,LOW
{M4V7-Z8YX65GN-5137NDIL},1/4/2010 11:18,DTAA/BJC0569,PC-2588,Disconnect,"User DTAA/BJC0569 disconnect PC-2588 on April 01, 2010 at 11:18 AM. Session ID: {M4V7-Z8YX65GN-5137NDIL}",normal,MEDIUM
{Z0H5-E7IA80CY-0824YVRG},1/4/2010 11:20,DTAA/SLC0778,PC-3199,Connect,"User DTAA/SLC0778 connect PC-3199 on April 01, 2010 at 11:20 AM. Session ID: {Z0H5-E7IA80CY-0824YVRG}",normal,LOW
{H8E8-F0AV41YH-6569KKXF},1/4/2010 11:40,DTAA/KSB0673,PC-0847,Connect,"User DTAA/KSB0673 connect PC-0847 on April 01, 2010 at 11:40 AM. Session ID: {H8E8-F0AV41YH-6569KKXF}",normal,LOW
{F0S2-W3JE09YB-7989DUED},1/4/2010 11:42,DTAA/PXB0069,PC-1972,Connect,"User DTAA/PXB0069 connect PC-1972 on April 01, 2010 at 11:42 AM. Session ID: {F0S2-W3JE09YB-7989DUED}",normal,LOW
{F6S1-U7UM12WM-6110LIAE},1/4/2010 11:46,DTAA/MMH0612,PC-2886,Connect,"User DTAA/MMH0612 connect PC-2886 on April 01, 2010 at 11:46 AM. Session ID: {F6S1-U7UM12WM-6110LIAE}",normal,LOW
{Q9C9-G7OC47FS-6846BISV},1/4/2010 11:46,DTAA/OYR0801,PC-0088,Connect,"User DTAA/OYR0801 connect PC-0088 on April 01, 2010 at 11:46 AM. Session ID: {Q9C9-G7OC47FS-6846BISV}",normal,LOW
{E5T2-G7FT57UL-2548ODTA},1/4/2010 11:59,DTAA/JLM0053,PC-1334,Connect,"User DTAA/JLM0053 connect PC-1334 on April 01, 2010 at 11:59 AM. Session ID: {E5T2-G7FT57UL-2548ODTA}",normal,LOW
{D3V3-E9KB08PY-8139HJVD},1/4/2010 12:09,DTAA/ELA0741,PC-1751,Disconnect,"User DTAA/ELA0741 disconnect PC-1751 on April 01, 2010 at 12:09 PM. Session ID: {D3V3-E9KB08PY-8139HJVD}",normal,MEDIUM
{P7F4-V5EH64FK-6156VVDC},1/4/2010 12:09,DTAA/CGM0343,PC-3039,Connect,"User DTAA/CGM0343 connect PC-3039 on April 01, 2010 at 12:09 PM. Session ID: {P7F4-V5EH64FK-6156VVDC}",normal,LOW
{I6P5-V6KN90BF-2902IZTV},1/4/2010 12:13,DTAA/AFN0918,PC-3425,Disconnect,"User DTAA/AFN0918 disconnect PC-3425 on April 01, 2010 at 12:13 PM. Session ID: {I6P5-V6KN90BF-2902IZTV}",normal,MEDIUM
{L1B0-Q3JG26TC-5647YUEI},1/4/2010 12:14,DTAA/HNF0812,PC-4760,Connect,"User DTAA/HNF0812 connect PC-4760 on April 01, 2010 at 12:14 PM. Session ID: {L1B0-Q3JG26TC-5647YUEI}",normal,LOW
{X8S5-L7MF30BE-1136TWWK},1/4/2010 12:15,DTAA/BGF0236,PC-1848,Connect,"User DTAA/BGF0236 connect PC-1848 on April 01, 2010 at 12:15 PM. Session ID: {X8S5-L7MF30BE-1136TWWK}",normal,LOW
{R9L5-O0QO02MW-3582FLNN},1/4/2010 12:17,DTAA/MMH0612,PC-2886,Disconnect,"User DTAA/MMH0612 disconnect PC-2886 on April 01, 2010 at 12:17 PM. Session ID: {R9L5-O0QO02MW-3582FLNN}",normal,MEDIUM
{B7X3-W1XM86CY-6329GABR},1/4/2010 12:17,DTAA/NNB0443,PC-4625,Connect,"User DTAA/NNB0443 connect PC-4625 on April 01, 2010 at 12:17 PM. Session ID: {B7X3-W1XM86CY-6329GABR}",normal,LOW
{B6D5-G1UV49WD-7087YELU},1/4/2010 12:18,DTAA/MIK0034,PC-0845,Disconnect,"User DTAA/MIK0034 disconnect PC-0845 on April 01, 2010 at 12:18 PM. Session ID: {B6D5-G1UV49WD-7087YELU}",normal,MEDIUM
{Y4P6-G7NV12NO-6377LAYE},1/4/2010 12:20,DTAA/PSP0555,PC-0017,Connect,"User DTAA/PSP0555 connect PC-0017 on April 01, 2010 at 12:20 PM. Session ID: {Y4P6-G7NV12NO-6377LAYE}",normal,LOW
{Z2E8-N5XW71ZP-5705MICU},1/4/2010 12:31,DTAA/EDH0146,PC-3973,Connect,"User DTAA/EDH0146 connect PC-3973 on April 01, 2010 at 12:31 PM. Session ID: {Z2E8-N5XW71ZP-5705MICU}",normal,LOW
{D4F1-Z9ZW95TR-1171YYKI},1/4/2010 12:32,DTAA/SCW0707,PC-1217,Disconnect,"User DTAA/SCW0707 disconnect PC-1217 on April 01, 2010 at 12:32 PM. Session ID: {D4F1-Z9ZW95TR-1171YYKI}",normal,MEDIUM
{F1O4-B8NQ96QF-5477GTEL},1/4/2010 12:40,DTAA/TAO0639,PC-2198,Connect,"User DTAA/TAO0639 connect PC-2198 on April 01, 2010 at 12:40 PM. Session ID: {F1O4-B8NQ96QF-5477GTEL}",normal,LOW
{Z4C4-U3FS09EM-1886CJEF},1/4/2010 12:40,DTAA/MMF0289,PC-1734,Connect,"User DTAA/MMF0289 connect PC-1734 on April 01, 2010 at 12:40 PM. Session ID: {Z4C4-U3FS09EM-1886CJEF}",normal,LOW
{G6B2-B9TM00BP-4277KZNE},1/4/2010 12:43,DTAA/JJR0278,PC-1005,Connect,"User DTAA/JJR0278 connect PC-1005 on April 01, 2010 at 12:43 PM. Session ID: {G6B2-B9TM00BP-4277KZNE}",normal,LOW
{V9X0-J5MZ92NE-5410EUMO},1/4/2010 12:50,DTAA/SJH0588,PC-2512,Connect,"User DTAA/SJH0588 connect PC-2512 on April 01, 2010 at 12:50 PM. Session ID: {V9X0-J5MZ92NE-5410EUMO}",normal,LOW
{S7N1-G0RY04PM-2530REQD},1/4/2010 12:58,DTAA/HCG0731,PC-4643,Connect,"User DTAA/HCG0731 connect PC-4643 on April 01, 2010 at 12:58 PM. Session ID: {S7N1-G0RY04PM-2530REQD}",normal,LOW
{T8O2-L9OB10MJ-4206MSJV},1/4/2010 12:59,DTAA/MAG0290,PC-4646,Connect,"User DTAA/MAG0290 connect PC-4646 on April 01, 2010 at 12:59 PM. Session ID: {T8O2-L9OB10MJ-4206MSJV}",normal,LOW
{W9S1-C1OD80XP-4703LFGM},1/4/2010 13:01,DTAA/PUH0847,PC-2550,Connect,"User DTAA/PUH0847 connect PC-2550 on April 01, 2010 at 01:01 PM. Session ID: {W9S1-C1OD80XP-4703LFGM}",normal,LOW
{A3U7-T3JL71JL-8140AANL},1/4/2010 13:02,DTAA/CHA0174,PC-2751,Disconnect,"User DTAA/CHA0174 disconnect PC-2751 on April 01, 2010 at 01:02 PM. Session ID: {A3U7-T3JL71JL-8140AANL}",normal,MEDIUM
{N6W5-D1BI38CO-6294MPGQ},1/4/2010 13:03,DTAA/HDR0261,PC-2506,Connect,"User DTAA/HDR0261 connect PC-2506 on April 01, 2010 at 01:03 PM. Session ID: {N6W5-D1BI38CO-6294MPGQ}",normal,LOW
{Z4K3-Z6JY07GN-0671CKMX},1/4/2010 13:05,DTAA/HCG0731,PC-4643,Disconnect,"User DTAA/HCG0731 disconnect PC-4643 on April 01, 2010 at 01:05 PM. Session ID: {Z4K3-Z6JY07GN-0671CKMX}",normal,MEDIUM
{M2A3-T3OT43ID-1258HLFJ},1/4/2010 13:07,DTAA/JCS0873,PC-1560,Disconnect,"User DTAA/JCS0873 disconnect PC-1560 on April 01, 2010 at 01:07 PM. Session ID: {M2A3-T3OT43ID-1258HLFJ}",normal,MEDIUM
{Z3E0-F7TY30HF-8916ZBHZ},1/4/2010 13:13,DTAA/ODW0839,PC-1940,Connect,"User DTAA/ODW0839 connect PC-1940 on April 01, 2010 at 01:13 PM. Session ID: {Z3E0-F7TY30HF-8916ZBHZ}",normal,LOW
{I0J8-Z4ST81AS-8933MOBK},1/4/2010 13:14,DTAA/HNF0812,PC-4760,Disconnect,"User DTAA/HNF0812 disconnect PC-4760 on April 01, 2010 at 01:14 PM. Session ID: {I0J8-Z4ST81AS-8933MOBK}",normal,MEDIUM
{D1G8-T1IT42OE-5175XFJY},1/4/2010 13:15,DTAA/TLB0017,PC-0053,Connect,"User DTAA/TLB0017 connect PC-0053 on April 01, 2010 at 01:15 PM. Session ID: {D1G8-T1IT42OE-5175XFJY}",normal,LOW
{R4B7-M6RQ54UM-7055JKLS},1/4/2010 13:23,DTAA/COS0121,PC-0462,Connect,"User DTAA/COS0121 connect PC-0462 on April 01, 2010 at 01:23 PM. Session ID: {R4B7-M6RQ54UM-7055JKLS}",normal,LOW
{I7I2-B3JN53XM-2048AKVP},1/4/2010 13:24,DTAA/XQW0354,PC-4067,Connect,"User DTAA/XQW0354 connect PC-4067 on April 01, 2010 at 01:24 PM. Session ID: {I7I2-B3JN53XM-2048AKVP}",normal,LOW
{M2S7-G1ZG91KR-1111TUIF},1/4/2010 13:27,DTAA/JLM0053,PC-1334,Disconnect,"User DTAA/JLM0053 disconnect PC-1334 on April 01, 2010 at 01:27 PM. Session ID: {M2S7-G1ZG91KR-1111TUIF}",normal,MEDIUM
{E8J5-E5SK57FQ-0460VZMX},1/4/2010 13:28,DTAA/PUH0847,PC-2550,Disconnect,"User DTAA/PUH0847 disconnect PC-2550 on April 01, 2010 at 01:28 PM. Session ID: {E8J5-E5SK57FQ-0460VZMX}",normal,MEDIUM
{T8Y0-D5OH88DC-0513IESJ},1/4/2010 13:29,DTAA/XQW0354,PC-4067,Disconnect,"User DTAA/XQW0354 disconnect PC-4067 on April 01, 2010 at 01:29 PM. Session ID: {T8Y0-D5OH88DC-0513IESJ}",normal,MEDIUM
{V3R2-C3LN15JJ-7462VYUL},1/4/2010 13:31,DTAA/SPK0818,PC-1938,Connect,"User DTAA/SPK0818 connect PC-1938 on April 01, 2010 at 01:31 PM. Session ID: {V3R2-C3LN15JJ-7462VYUL}",normal,LOW
{Z9F5-G8FJ57DV-8767JDUD},1/4/2010 13:37,DTAA/HSD0519,PC-2047,Connect,"User DTAA/HSD0519 connect PC-2047 on April 01, 2010 at 01:37 PM. Session ID: {Z9F5-G8FJ57DV-8767JDUD}",normal,LOW
{U6P0-W1MV66ZX-9801OSFI},1/4/2010 13:44,DTAA/NNB0443,PC-4625,Disconnect,"User DTAA/NNB0443 disconnect PC-4625 on April 01, 2010 at 01:44 PM. Session ID: {U6P0-W1MV66ZX-9801OSFI}",normal,MEDIUM
{Y7Y5-T1NT75ZW-2071FXHT},1/4/2010 13:46,DTAA/HSD0519,PC-2047,Disconnect,"User DTAA/HSD0519 disconnect PC-2047 on April 01, 2010 at 01:46 PM. Session ID: {Y7Y5-T1NT75ZW-2071FXHT}",normal,MEDIUM
{E3L9-O1VW04YP-5829MXSM},1/4/2010 13:48,DTAA/MJM0469,PC-1592,Connect,"User DTAA/MJM0469 connect PC-1592 on April 01, 2010 at 01:48 PM. Session ID: {E3L9-O1VW04YP-5829MXSM}",normal,LOW
{K5Y3-J6JA26KL-7175BEOJ},1/4/2010 13:51,DTAA/AZC0030,PC-4724,Disconnect,"User DTAA/AZC0030 disconnect PC-4724 on April 01, 2010 at 01:51 PM. Session ID: {K5Y3-J6JA26KL-7175BEOJ}",normal,MEDIUM
{D7L7-V8BG36DI-4639WLBT},1/4/2010 13:51,DTAA/TNB0740,PC-2015,Connect,"User DTAA/TNB0740 connect PC-2015 on April 01, 2010 at 01:51 PM. Session ID: {D7L7-V8BG36DI-4639WLBT}",normal,LOW
{Y8Z3-U7MM64SR-1595SQVK},1/4/2010 13:54,DTAA/ESB0080,PC-2529,Connect,"User DTAA/ESB0080 connect PC-2529 on April 01, 2010 at 01:54 PM. Session ID: {Y8Z3-U7MM64SR-1595SQVK}",normal,LOW
{P2C4-Q9QD38DE-1323HJSB},1/4/2010 13:58,DTAA/DAV0579,PC-1701,Disconnect,"User DTAA/DAV0579 disconnect PC-1701 on April 01, 2010 at 01:58 PM. Session ID: {P2C4-Q9QD38DE-1323HJSB}",normal,MEDIUM
{Q7I1-E7JC47AT-3496UVQC},1/4/2010 14:04,DTAA/SOM0478,PC-3348,Disconnect,"User DTAA/SOM0478 disconnect PC-3348 on April 01, 2010 at 02:04 PM. Session ID: {Q7I1-E7JC47AT-3496UVQC}",normal,MEDIUM
{U3C3-X2TS27NY-4511VQNR},1/4/2010 14:05,DTAA/IRC0991,PC-1118,Disconnect,"User DTAA/IRC0991 disconnect PC-1118 on April 01, 2010 at 02:05 PM. Session ID: {U3C3-X2TS27NY-4511VQNR}",normal,MEDIUM
{C2X0-B6LK36KT-6315IOTZ},1/4/2010 14:05,DTAA/AFR0646,PC-0323,Disconnect,"User DTAA/AFR0646 disconnect PC-0323 on April 01, 2010 at 02:05 PM. Session ID: {C2X0-B6LK36KT-6315IOTZ}",normal,MEDIUM
{K7H9-A4ES86VL-8807LFXM},1/4/2010 14:09,DTAA/TLB0017,PC-0053,Disconnect,"User DTAA/TLB0017 disconnect PC-0053 on April 01, 2010 at 02:09 PM. Session ID: {K7H9-A4ES86VL-8807LFXM}",normal,MEDIUM
{U8G9-G7JR94TJ-4795KJMI},1/4/2010 14:10,DTAA/MJM0469,PC-1592,Disconnect,"User DTAA/MJM0469 disconnect PC-1592 on April 01, 2010 at 02:10 PM. Session ID: {U8G9-G7JR94TJ-4795KJMI}",normal,MEDIUM
{V6H4-Q6UU96HQ-7350KTSP},1/4/2010 14:10,DTAA/SLC0778,PC-3199,Disconnect,"User DTAA/SLC0778 disconnect PC-3199 on April 01, 2010 at 02:10 PM. Session ID: {V6H4-Q6UU96HQ-7350KTSP}",normal,MEDIUM
{V3V3-M4FS79RM-3426KZQI},1/4/2010 14:12,DTAA/LCK0666,PC-3245,Connect,"User DTAA/LCK0666 connect PC-3245 on April 01, 2010 at 02:12 PM. Session ID: {V3V3-M4FS79RM-3426KZQI}",normal,LOW
{R4U1-A6AU80YD-0553FDBM},1/4/2010 14:13,DTAA/MAG0290,PC-4646,Disconnect,"User DTAA/MAG0290 disconnect PC-4646 on April 01, 2010 at 02:13 PM. Session ID: {R4U1-A6AU80YD-0553FDBM}",normal,MEDIUM
{P9T6-B7US97EH-1117ZSUA},1/4/2010 14:18,DTAA/CSC0297,PC-2848,Connect,"User DTAA/CSC0297 connect PC-2848 on April 01, 2010 at 02:18 PM. Session ID: {P9T6-B7US97EH-1117ZSUA}",normal,LOW
{T8N8-I8EM37JG-2361EXLI},1/4/2010 14:19,DTAA/RQH0770,PC-4225,Disconnect,"User DTAA/RQH0770 disconnect PC-4225 on April 01, 2010 at 02:19 PM. Session ID: {T8N8-I8EM37JG-2361EXLI}",normal,MEDIUM
{V1F1-R4GN79KQ-7853TJMW},1/4/2010 14:22,DTAA/EDH0146,PC-3973,Disconnect,"User DTAA/EDH0146 disconnect PC-3973 on April 01, 2010 at 02:22 PM. Session ID: {V1F1-R4GN79KQ-7853TJMW}",normal,MEDIUM
{J6Y3-V8VG15MF-5991TRRZ},1/4/2010 14:25,DTAA/AJA0220,PC-3872,Connect,"User DTAA/AJA0220 connect PC-3872 on April 01, 2010 at 02:25 PM. Session ID: {J6Y3-V8VG15MF-5991TRRZ}",normal,LOW
{E3L8-W5PV03GT-9808QJPD},1/4/2010 14:33,DTAA/KSB0673,PC-0847,Disconnect,"User DTAA/KSB0673 disconnect PC-0847 on April 01, 2010 at 02:33 PM. Session ID: {E3L8-W5PV03GT-9808QJPD}",normal,MEDIUM
